,변수명,변수설명
0,N_DIET,식사요법여부
1,N_DIET_WHY,식사요법이유
2,N_DT_DS,식사요법이유_질환
3,N_DT_ETC,식사요법이유_기타
4,N_DUSUAL,평소식사량과 비교
5,N_WAT_C,물섭취량(컵)
6,N_PRG,임신 및 수유여부(가임기여성)
7,N_BFD_Y,모유수유여부(영유아)
8,N_DAY,영양조사요일
9,N_MEAL,끼니구분
10,N_MEAL_T,식사시간
11,N_MEAL_P,식사장소
12,N_MTYPE,매식여부
13,N_MEAL_W,타인동반 여부
14,N_DNAME,음식명
15,N_DCODE,음식코드
16,N_CD_VOL,음식의 조리총량(부피)
17,N_CD_WT,음식의 조리총량(중량)
18,N_TD_VOL,음식의 섭취량(부피)
19,N_TD_WT,음식의 섭취량(중량)
20,N_FCODE,식품코드
21,N_FNAME,식품코드명(한글)
22,N_ENAME,식품코드명(영문)
23,N_FD_NS,식품명 및 식품상태
24,N_FM_WT,식품재료량(중량)
25,N_PRODUCT,제품명
26,N_CNAME,제조회사명
27,N_AP,동식물성 구분
28,N_KINDG1,식품군 분류
29,N_FCODE3,3차 식품코드
30,N_FNAME3,3차 식품코드명
31,NF_INTK,식품섭취량
32,NF_INTK3,3차 식품코드용 식품섭취량
33,NF_EN,에너지 섭취량(kcal)
34,NF_WATER,수분 섭취량(g)
35,NF_PROT,단백질 섭취량(g)
36,NF_FAT,지방 섭취량(g)
37,NF_SFA,포화지방산 섭취량(g)
38,NF_MUFA,단일불포화지방산 섭취량(g)
39,NF_PUFA,다가불포화지방산 섭취량(g)
40,NF_N3,n-3계 지방산 섭취량(g)
41,NF_N6,n-6계 지방산 섭취량(g)
42,NF_10_0,카프르산 섭취량(mg)
43,NF_12_0,라우르산 섭취량(mg)
44,NF_14_0,미리스트산 섭취량(mg)
45,NF_16_0,팔미트산 섭취량(mg)
46,NF_18_0,스테아르산 섭취량(mg)
47,NF_20_0,아라키드산 섭취량(mg)
48,NF_22_0,베헨산 섭취량(mg)
49,NF_24_0,리그노세르산 섭취량(mg)
50,NF_14_1,미리스톨레산 섭취량(mg)
51,NF_16_1,팔미톨레산 섭취량(mg)
52,NF_18_1,올레산 섭취량(mg)
53,NF_20_1,에이코센산 섭취량(mg)
54,NF_22_1,에루크산 섭취량(mg)
55,NF_24_1,네르본산 섭취량(mg)
56,NF_18_2N6,리놀레산 섭취량(mg)
57,NF_18_3N3,알파리놀렌산 섭취량(mg)
58,NF_18_3N6,감마리놀렌산 섭취량(mg)
59,NF_18_4,스테아리돈산 섭취량(mg)
60,NF_20_2,에이코사디엔산 섭취량(mg)
61,NF_20_3N6,디호모감마리놀렌산 섭취량(mg)
62,NF_20_4N6,아라키돈산 섭취량(mg)
63,NF_20_5N3,에이코사펜타엔산 섭취량(mg)
64,NF_22_2,도코사디엔산 섭취량(mg)
65,NF_22_5,도코사펜타엔산 섭취량(mg)
66,NF_22_6N3,도코사헥사엔산 섭취량(mg)
67,NF_CHOL,콜레스테롤 섭취량(mg)
68,NF_CHO,탄수화물 섭취량(g)
69,NF_TDF,식이섬유 섭취량(g)
70,NF_SUGAR,당 섭취량(g)
71,NF_CA,칼슘 섭취량(mg)
72,NF_PHOS,인 섭취량(mg)
73,NF_FE,철 섭취량(mg)
74,NF_NA,나트륨 섭취량(mg)
75,NF_K,칼륨 섭취량(mg)
76,NF_VA_RAE,비타민A(레티놀 활성 당량) 섭취량(μgRAE)
77,NF_CAROT,베타카로틴 섭취량(μg)
78,NF_RETIN,레티놀 섭취량(μg)
79,NF_B1,티아민 섭취량(mg)
80,NF_B2,리보플라빈 섭취량(mg)
81,NF_NIAC,나이아신 섭취량(mg)
82,NF_FOLATE,엽산 섭취량(μgDFE)
83,NF_VITC,비타민C 섭취량(mg)
84,N_INTK,1일 식품섭취량(g)
85,N_EN,1일 에너지 섭취량(kcal)
86,N_WATER,1일 수분 섭취량(g)
87,N_PROT,1일 단백질 섭취량(g)
88,N_FAT,1일 지방 섭취량(g)
89,N_SFA,1일 포화지방산 섭취량(g)
