,dis,var,Cor,dis_설명,var_설명
258,DC1_PR,DK4_PT,0.5,위암 현재 유병 여부,간경변증 치료 
362,DC1_PR,EC_STT_2,0.524,위암 현재 유병 여부,(취업자) 종사상지위_임금근로자 상세
360,DC1_PR,BM13_3,0.461,위암 현재 유병 여부,치아손상 사유: 교통사고
92,DC1_PR,DC1_PT,0.772,위암 현재 유병 여부,위암 치료 여부
70,DC1_PR,BE3_78,-0.577,위암 현재 유병 여부,여가_고강도 신체활동 시간(분)
341,DC1_PR,DC2_PT,0.577,위암 현재 유병 여부,간암 치료 여부 
49,DC1_PR,BA2_2_6,0.895,위암 현재 유병 여부,(성인) 1년간 음주운전 횟수: 자동차
174,DC1_PR,BE3_76,0.855,위암 현재 유병 여부,여가_고강도 신체활동 일수
317,DC1_PR,LQ4_10,0.409,위암 현재 유병 여부,활동제한 사유(성인): 암
274,DC1_PR,BS12_47,-1.0,위암 현재 유병 여부,(성인) 현재사용담배종류: 찐담배
242,DC1_PR,DJ6_PT,0.612,위암 현재 유병 여부,부비동염 치료
62,DC1_PR,BE3_77,0.577,위암 현재 유병 여부,여가_고강도 신체활동 시간(시간)
389,DC2_PR,GS_MEA_R_1,-0.419,간암 현재 유병 여부 ,1차 악력측정_오른손
384,DC2_PR,BM8,-0.485,간암 현재 유병 여부 ,(성인) 말하기 문제
383,DC2_PR,O_CHEW_D,0.418,간암 현재 유병 여부 ,저작불편 호소 여부
390,DC2_PR,L_BR_TO,0.507,간암 현재 유병 여부 ,최근 1년 동안 아침식사 시 가족 및 가족 외 사람과의 동반 여부
385,DC2_PR,BM14_1,-0.497,간암 현재 유병 여부 ,치과진료 미치료 이유
391,DC2_PR,L_LN_TO,0.461,간암 현재 유병 여부 ,최근 1년 동안 점심식사 시 가족 및 가족 외 사람과의 동반 여부
396,DC2_PR,AINC_UNIT1,-0.418,간암 현재 유병 여부 ,가구총소득(개방형) : 소득단위
394,DC2_PR,N_DIET,0.548,간암 현재 유병 여부 ,식사요법여부
395,DC2_PR,HOUSE,-0.431,간암 현재 유병 여부 ,주택소유여부 
382,DC2_PR,BM7,-0.567,간암 현재 유병 여부 ,(성인) 씹기 문제
397,DC2_PR,DE1_31,0.577,간암 현재 유병 여부 ,당뇨병혈당관리치료_인슐린 주사
398,DC2_PR,DJ8_PT,1.0,간암 현재 유병 여부 ,알레르기비염 치료 
401,DC2_PR,BH1_1,-0.577,간암 현재 유병 여부 ,(성인) 건강검진 _본인부담종합
402,DC2_PR,BH2_63,-0.5,간암 현재 유병 여부 ,(성인) 암검진_본인부담특정
405,DC2_PR,MO1_1,-0.54,간암 현재 유병 여부 ,외래이용 횟수 
406,DC2_PR,BO1_3,-1.0,간암 현재 유병 여부 ,(성인) 1년간 체중 증가량
407,DC2_PR,BA1_3,-0.5,간암 현재 유병 여부 ,자전거 헬멧 이용 여부
393,DC2_PR,LK_LB_US,-0.791,간암 현재 유병 여부 ,영양표시 이용여부
381,DC2_PR,BM1_6,0.467,간암 현재 유병 여부 ,칫솔질 시기: 저녁식사 후
372,DC2_PR,BP6_10,0.645,간암 현재 유병 여부 ,1년간 자살 생각 여부
379,DC2_PR,HE_UPH,-0.431,간암 현재 유병 여부 ,요산도
243,DC2_PR,DJ6_PT,1.0,간암 현재 유병 여부 ,부비동염 치료
259,DC2_PR,DK4_PT,0.791,간암 현재 유병 여부 ,간경변증 치료 
318,DC2_PR,LQ4_10,0.408,간암 현재 유병 여부 ,활동제한 사유(성인): 암
336,DC2_PR,DE1_3,-0.612,간암 현재 유병 여부 ,당뇨병혈당관리치료여부
339,DC2_PR,DE1_PT,0.612,간암 현재 유병 여부 ,당뇨병 치료 
342,DC2_PR,DC2_PT,0.716,간암 현재 유병 여부 ,간암 치료 여부 
349,DC2_PR,DK8_PT,0.529,간암 현재 유병 여부 ,B형간염 치료 
380,DC2_PR,HE_USG,0.476,간암 현재 유병 여부 ,요비중
367,DC2_PR,DE1_4,0.667,간암 현재 유병 여부 ,안저검사
369,DC2_PR,LQ4_25,-1.0,간암 현재 유병 여부 ,활동제한 사유(성인): 신부전
370,DC2_PR,MH1_YR,0.418,간암 현재 유병 여부 ,1년간 입원이용 여부
371,DC2_PR,EC_PEDU_2,0.535,간암 현재 유병 여부 ,(성인) 유년기환경: 어머니 교육수준
373,DC2_PR,BE5_1,-0.546,간암 현재 유병 여부 ,1주일간 근력운동 일수
374,DC2_PR,LW_MS_A,-0.962,간암 현재 유병 여부 ,초경연령
376,DC2_PR,LW_BR_MM,0.545,간암 현재 유병 여부 ,모유수유기간(월)
377,DC2_PR,LW_OC,0.408,간암 현재 유병 여부 ,경구피임약 복용여부
365,DC2_PR,DM4_DG,-0.505,간암 현재 유병 여부 ,골다공증 의사진단 여부
410,DC2_PR,BE3_91,0.418,간암 현재 유병 여부 ,장소이동 신체활동 여부
368,DC2_PR,DC11_DG,-0.505,간암 현재 유병 여부 ,기타암1 의사진단 여부
423,DC2_PR,N_FOLATE,-0.45,간암 현재 유병 여부 ,엽산
411,DC2_PR,BE3_86,-0.5,간암 현재 유병 여부 ,여가_중강도 신체활동 일수
421,DC2_PR,T_Q_VN,0.444,간암 현재 유병 여부 ,이명 여부
420,DC2_PR,MO4_18,0.527,간암 현재 유병 여부 ,"진료항목: 보철물 제작,수리 (브릿지, 임플란트, 틀니 등의 보철물)"
419,DC2_PR,LW_PR_1,0.514,간암 현재 유병 여부 ,(만15세이상)임신횟수
413,DC2_PR,BE3_87,1.0,간암 현재 유병 여부 ,여가_중강도 신체활동 시간(시간)
415,DC2_PR,BE3_88,-1.0,간암 현재 유병 여부 ,여가_중강도 신체활동 시간(분)
418,DC2_PR,LW_MS,0.408,간암 현재 유병 여부 ,(만10세이상)월경여부
291,DC3_PR,BA2_2_2,0.711,대장암 현재 유병 여부 ,(성인) 1년간 음주운전 횟수: 자전거
425,DC3_PR,BP5,-0.455,대장암 현재 유병 여부 ,2주이상 연속 우울감 여부
426,DC3_PR,BS5_1,-0.486,대장암 현재 유병 여부 ,(성인) 1개월내 금연계획
190,DC3_PR,DC6_PT,1.0,대장암 현재 유병 여부 ,폐암 치료 여부 
175,DC3_PR,BE3_76,0.693,대장암 현재 유병 여부 ,여가_고강도 신체활동 일수
177,DC3_PR,DM4_PT,0.5,대장암 현재 유병 여부 ,골다공증 치료
109,DC3_PR,DJ4_3,0.926,대장암 현재 유병 여부 ,천식 약복용
328,DC3_PR,AC3_2_01,-0.505,대장암 현재 유병 여부 ,손상1 발생시기-월
295,DC3_PR,DF2_PT,0.447,대장암 현재 유병 여부 ,우울증 치료 
267,DC3_PR,BS5,-0.43,대장암 현재 유병 여부 ,(성인) 1년간 하루이상 금연 여부
399,DC3_PR,DJ8_PT,0.73,대장암 현재 유병 여부 ,알레르기비염 치료 
165,DC3_PR,DC3_PT,0.652,대장암 현재 유병 여부 ,대장암 치료 여부 
78,DC3_PR,DI4_PT,0.43,대장암 현재 유병 여부 ,심근경색증 또는 협심증 치료
275,DC3_PR,BS12_47,-0.5,대장암 현재 유병 여부 ,(성인) 현재사용담배종류: 찐담배
260,DC3_PR,DK4_PT,1.0,대장암 현재 유병 여부 ,간경변증 치료 
63,DC3_PR,BE3_77,0.866,대장암 현재 유병 여부 ,여가_고강도 신체활동 시간(시간)
71,DC3_PR,BE3_78,-1.0,대장암 현재 유병 여부 ,여가_고강도 신체활동 시간(분)
436,DC4_PR,M_2_RS,-0.803,유방암 현재 유병 여부 ,필요 의료서비스 미충족 사유 
334,DC4_PR,BE3_83,-0.904,유방암 현재 유병 여부 ,일_중강도 신체활동 시간(시간)
440,DC4_PR,SC_SEATBLT,-0.5,유방암 현재 유병 여부 ,운전시 안전벨트 착용률
141,DC4_PR,DM3_PT,1.0,유방암 현재 유병 여부 ,류마티스성 관절염 치료
322,DC4_PR,AC3,0.612,유방암 현재 유병 여부 ,손상 횟수
353,DC4_PR,DH4_PT,0.632,유방암 현재 유병 여부 ,중이염 치료
120,DC4_PR,DL1_PT,-1.0,유방암 현재 유병 여부 ,아토피피부염 치료 
332,DC4_PR,BE3_82,-0.693,유방암 현재 유병 여부 ,일_중강도 신체활동 일수
412,DC4_PR,BE3_86,-0.721,유방암 현재 유병 여부 ,여가_중강도 신체활동 일수
434,DC4_PR,HE_MPLS,-0.42,유방암 현재 유병 여부 ,60초 맥박수
253,DC4_PR,DC4_PT,0.721,유방암 현재 유병 여부 ,유방암 치료 여부 
416,DC4_PR,BE3_88,-0.459,유방암 현재 유병 여부 ,여가_중강도 신체활동 시간(분)
428,DC4_PR,LQ4_15,-0.461,유방암 현재 유병 여부 ,활동제한 사유: 우울/불안/정서상 문제
429,DC4_PR,EC_OCCP,0.461,유방암 현재 유병 여부 ,(취업자) 표준직업분류 대분류 코드
432,DC4_PR,EC_STT_1,-0.459,유방암 현재 유병 여부 ,(취업자) 종사상지위
346,DC4_PR,DE2_PT,-0.667,유방암 현재 유병 여부 ,갑상선 질환 치료 
433,DC4_PR,BA2_12,-0.5,유방암 현재 유병 여부 ,(성인) 운전시 안전벨트 착용여부
422,DC5_PR,T_Q_VN,-0.415,자궁경부암 현재 유병 여부 ,이명 여부
449,DC5_PR,DC5_PT,0.81,자궁경부암 현재 유병 여부 ,자궁경부암 치료 여부 
448,DC5_PR,O_PAIN,0.47,자궁경부암 현재 유병 여부 ,최근 1년간 치통 경험유무
446,DC5_PR,HE_UCOT,0.64,자궁경부암 현재 유병 여부 ,요코티닌
444,DC5_PR,HE_ALT,0.406,자궁경부암 현재 유병 여부 ,ALT(SGPT)
386,DC5_PR,BM14_1,0.885,자궁경부암 현재 유병 여부 ,치과진료 미치료 이유
447,DC5_PR,HE_SPUT1,0.427,자궁경부암 현재 유병 여부 ,연속 3개월이상 가래 경험여부
442,DC5_PR,HE_AST,0.405,자궁경부암 현재 유병 여부 ,AST(SGOT)
441,DC5_PR,EC_WHT_23,0.533,자궁경부암 현재 유병 여부 ,주당 평균 근로시간
456,DC6_PR,HE_LDL_DRCT,-0.947,폐암 현재 유병 여부 ,LDL-콜레스테롤(직접검사)
455,DC6_PR,LW_MP_A,0.415,폐암 현재 유병 여부 ,폐경연령
191,DC6_PR,DC6_PT,0.667,폐암 현재 유병 여부 ,폐암 치료 여부 
463,DC6_PR,DE1_33,-0.462,폐암 현재 유병 여부 ,당뇨병혈당관리치료_비약물 요법
226,DC6_PR,BS5_4,1.0,폐암 현재 유병 여부 ,(성인) 니코틴의존
163,DC6_PR,HE_PFTTR,-1.0,폐암 현재 유병 여부 ,만성폐쇄성폐질환 치료 여부
178,DC6_PR,DM4_PT,0.548,폐암 현재 유병 여부 ,골다공증 치료
458,DC6_PR,BM13_2,-0.5,폐암 현재 유병 여부 ,치아손상 사유: 폭력
196,DC6_PR,HE_PFTAG,0.778,폐암 현재 유병 여부 ,만성폐쇄성폐질환 의사진단 연령
465,DC6_PR,LW_MT_A1,0.52,폐암 현재 유병 여부 ,(만15세이상)첫 출산연령
459,DC6_PR,BM13_4,0.5,폐암 현재 유병 여부 ,치아손상 사유: 안전사고
319,DC6_PR,LQ4_10,0.408,폐암 현재 유병 여부 ,활동제한 사유(성인): 암
461,DC6_PR,N_DIET_WHY,-0.529,폐암 현재 유병 여부 ,식사요법이유
453,DC6_PR,LQ1_MN,0.553,폐암 현재 유병 여부 ,최근 1달간 와병일수
247,DC6_PR,LK_LB_IT,-0.564,폐암 현재 유병 여부 ,영양표시 중 관심영양소
378,DC6_PR,LW_OC,0.426,폐암 현재 유병 여부 ,경구피임약 복용여부
350,DC6_PR,DK8_PT,0.5,폐암 현재 유병 여부 ,B형간염 치료 
437,DC6_PR,M_2_RS,0.5,폐암 현재 유병 여부 ,필요 의료서비스 미충족 사유 
356,DC6_PR,BA2_2_3,-1.0,폐암 현재 유병 여부 ,(성인) 1년간 음주운전 여부: 오토바이
400,DC6_PR,DJ8_PT,0.408,폐암 현재 유병 여부 ,알레르기비염 치료 
50,DC6_PR,BA2_2_6,0.437,폐암 현재 유병 여부 ,(성인) 1년간 음주운전 횟수: 자동차
408,DC6_PR,BA1_3,-0.408,폐암 현재 유병 여부 ,자전거 헬멧 이용 여부
452,DC6_PR,LQ4_05,-0.775,폐암 현재 유병 여부 ,"활동제한 사유: 호흡문제, 폐질환, 천식"
403,DC6_PR,BH2_63,0.522,폐암 현재 유병 여부 ,(성인) 암검진_본인부담특정
430,DC6_PR,EC_OCCP,0.444,폐암 현재 유병 여부 ,(취업자) 표준직업분류 대분류 코드
375,DC6_PR,LW_MS_A,0.607,폐암 현재 유병 여부 ,초경연령
466,DC7_PR,LQ4_22,0.414,갑상선암 현재 유병 여부 ,활동제한 사유(성인): 노령
285,DC7_PR,AC8_1_01,-0.408,갑상선암 현재 유병 여부 ,손상1 치료
320,DC7_PR,LQ4_10,0.618,갑상선암 현재 유병 여부 ,활동제한 사유(성인): 암
40,DC7_PR,LQ2_MN,1.0,갑상선암 현재 유병 여부 ,최근 1달간 결근일수
292,DC7_PR,BA2_2_2,0.999,갑상선암 현재 유병 여부 ,(성인) 1년간 음주운전 횟수: 자전거
387,DC7_PR,BM14_1,0.435,갑상선암 현재 유병 여부 ,치과진료 미치료 이유
435,DC7_PR,HE_MPLS,0.571,갑상선암 현재 유병 여부 ,60초 맥박수
227,DC7_PR,BS5_4,-1.0,갑상선암 현재 유병 여부 ,(성인) 니코틴의존
201,DC7_PR,DJ4_PT,0.577,갑상선암 현재 유병 여부 ,천식 치료 
156,DC7_PR,HE_SPUT2,-0.832,갑상선암 현재 유병 여부 ,연속 3개월이상 가래 경험기간
468,DC7_PR,BO1_2,-0.418,갑상선암 현재 유병 여부 ,(성인) 1년간 체중 감소량
167,DC7_PR,DC7_PT,0.745,갑상선암 현재 유병 여부 ,갑상선암 치료 여부 
475,DC7_PR,BS6_4_1,-0.51,갑상선암 현재 유병 여부 ,(성인) 과거흡연자 금연기간(연)
296,DC7_PR,DF2_PT,-0.408,갑상선암 현재 유병 여부 ,우울증 치료 
473,DC7_PR,BS6_4,-0.51,갑상선암 현재 유병 여부 ,(성인) 과거흡연자 금연기간(월 환산)
471,DC7_PR,BS3_2,0.98,갑상선암 현재 유병 여부 ,(성인) 하루평균 흡연량
