,변수명,변수설명
0,MOD_D,최종 DB 수정일
1,ID,개인 아이디
2,ID_FAM,가구 아이디
3,YEAR,조사연도
4,REGION,17개 시도
5,TOWN_T,동/읍면 구분
6,APT_T,아파트 구분
7,PSU,조사구번호
8,SEX,성별
9,AGE,만나이
10,AGE_MONTH,월령
11,INCM,소득 4분위수(개인)
12,HO_INCM,소득 4분위수(가구)
13,INCM5,소득 5분위수(개인)
14,HO_INCM5,소득 5분위수(가구)
15,EDU,교육수준 재분류 코드
16,OCCP,직업재분류 및 실업/비경제활동 상태 코드
17,WT_HS,가구조사 가중치
18,WT_ITVEX,건강설문-검진조사 가중치
19,WT_PFT,폐기능검사 가중치(만40세이상)
20,WT_HM,중금속검사 가중치(만10세이상)
21,WT_VT,비타민검사 가중치(만10세이상)
22,WT_NN,NNAL검사 가중치(만6세이상)
23,WT_EX1,안검사 가중치(만40세이상)
24,WT_NTR,영양조사 가중치
25,WT_TOT,건강설문-검진조사 & 영양조사 가중치
26,WT_PFHM,폐기능검사 & 중금속검사 가중치(만40세이상)
27,WT_PFVT,폐기능검사 & 비타민검사 가중치(만40세이상)
28,WT_PFNT,폐기능검사 & 영양조사 가중치(만40세이상)
29,WT_HMNT,중금속검사 & 영양조사 가중치(만10세이상)
30,WT_VTNT,비타민검사 & 영양조사 가중치(만10세이상)
31,WT_NNNT,NNAL검사 & 영양조사 가중치(만6세이상)
32,WT_PFHMNT,폐기능검사 & 중금속검사 & 영양조사 가중치(만40세이상)
33,WT_PFVTNT,폐기능검사 & 비타민검사 & 영양조사 가중치(만40세이상)
34,WT_EX1NT,안검사 & 영양조사 가중치(만40세이상)
35,WT_EX1HM,안검사 & 중금속검사 가중치(만40세이상)
36,WT_EX1PF,안검사 & 폐기능검사 가중치(만40세이상)
37,WT_TOT1,안검사 & 폐기능검사 & 중금속검사 가중치(만40세이상)
38,WT_EX1PFNT,안검사 & 폐기능검사 & 영양조사 가중치(만40세이상)
39,WT_EX1HMNT,안검사 & 중금속검사 & 영양조사 가중치(만40세이상)
40,WT_TOT1NT,안검사 & 폐기능검사 & 중금속검사 & 영양조사 가중치(만40세이상)
41,WT_OE,검진구강조사 가중치
42,WT_OENT,검진구강조사 & 영양조사 가중치
43,KSTRATA,분산추정 층 
44,CFAM,가구원수
45,GENERTN,가구 세대구성코드
46,ALLOWNC,기초생활수급 여부
47,HOUSE,주택소유여부 
48,LIVE_T,주택형태
49,AINC_UNIT1,가구총소득(개방형) : 소득단위
50,AINC_1,가구총소득(개방형) : 소득액
51,AINC,월평균 가구총소득
52,MARRI_1,결혼여부
53,MARRI_2,결혼상태
54,FAM_RELA,가구주와의 관계
55,TINS,건강보험종류
56,NPINS,민간의료보험가입여부
57,ID_F,아버지 아이디
58,ID_M,어머니 아이디
59,D_1_1,주관적 건강상태
60,D_2_1,"최근2주간 몸이 불편했던 
경험 유무"
61,D_2_WK,최근2주간 불편감일수
62,DI1_DG,고혈압 의사진단 여부 
63,DI1_AG,고혈압 진단시기
64,DI1_PR,고혈압 현재 유병 여부 
65,DI1_PT,고혈압 치료
66,DI1_2,혈압조절제 복용
67,DI2_DG,이상지질혈증 의사진단 여부 
68,DI2_AG,이상지질혈증 진단시기
69,DI2_PR,이상지질혈증 현재 유병 여부
70,DI2_PT,이상지질혈증 치료 
71,DI2_2,이상지질혈증 약복용
72,DI3_DG,뇌졸중 의사진단여부 
73,DI3_AG,뇌졸중 진단시기
74,DI3_PR,뇌졸중 현재 유병 여부 
75,DI3_PT,뇌졸중 치료 
76,DI3_2,뇌졸중 후유증
77,DI4_DG,심근경색증 또는 협심증 의사진단 여부
78,DI4_PR,심근경색증 또는 협심증 현재 유병 여부
79,DI4_PT,심근경색증 또는 협심증 치료
80,DI5_DG,심근경색증 의사진단 여부
81,DI5_AG,심근경색증 진단시기
82,DI5_PR,심근경색증 현재 유병 여부
83,DI5_PT,심근경색증 치료
84,DI6_DG,협심증 의사진단 여부
85,DI6_AG,협심증 진단시기
86,DI6_PR,협심증 현재 유병 여부
87,DI6_PT,협심증 치료
88,DM1_DG,관절염 의사진단 여부
89,DM1_PR,관절염 현재 유병 여부
90,DM1_PT,관절염 치료
91,DM2_DG,골관절염 의사진단 여부 
92,DM2_AG,골관절염 진단시기
93,DM2_PR,골관절염 현재 유병 여부 
94,DM2_PT,골관절염 치료 
95,DM3_DG,류마티스성 관절염 의사진단 여부
96,DM3_AG,류마티스성 관절염 진단시기
97,DM3_PR,류마티스성 관절염 현재 유병 여부
98,DM3_PT,류마티스성 관절염 치료
99,DM4_DG,골다공증 의사진단 여부
100,DM4_AG,골다공증 진단시기
101,DM4_PR,골다공증 현재 유병 여부
102,DM4_PT,골다공증 치료
103,DJ2_DG,폐결핵 의사진단 여부 
104,DJ2_AG,폐결핵 진단시기
105,DJ2_PR,폐결핵 현재 유병 여부 
106,DJ2_PT,폐결핵 치료 
107,DJ4_DG,천식 의사진단 여부
108,DJ4_AG,천식 진단시기
109,DJ4_PR,천식 현재 유병 여부 
110,DJ4_PT,천식 치료 
111,DJ4_3,천식 약복용
112,DE1_DG,당뇨병 의사진단 여부
113,DE1_AG,당뇨병 진단시기
114,DE1_PR,당뇨병 현재 유병 여부 
115,DE1_PT,당뇨병 치료 
116,DE1_3,당뇨병혈당관리치료여부
117,DE1_31,당뇨병혈당관리치료_인슐린 주사
118,DE1_32,당뇨병혈당관리치료_당뇨병약 
119,DE1_33,당뇨병혈당관리치료_비약물 요법
120,DE1_34,당뇨병혈당관리치료_기타
121,DE1_35,당뇨병혈당관리치료_기타상세
122,DE1_4,안저검사
123,DE2_DG,갑상선 질환 의사진단 여부 
124,DE2_AG,갑상선 질환 진단시기
125,DE2_PR,갑상선 질환 현재 유병 여부 
126,DE2_PT,갑상선 질환 치료 
127,DC1_DG,위암 의사진단 여부
128,DC1_AG,위암 진단시기
129,DC1_PR,위암 현재 유병 여부
130,DC1_PT,위암 치료 여부
131,DC2_DG,간암 의사진단 여부
132,DC2_AG,간암 진단시기
133,DC2_PR,간암 현재 유병 여부 
134,DC2_PT,간암 치료 여부 
135,DC3_DG,대장암 의사진단 여부
136,DC3_AG,대장암 진단시기
137,DC3_PR,대장암 현재 유병 여부 
138,DC3_PT,대장암 치료 여부 
139,DC4_DG,유방암 의사진단 여부
140,DC4_AG,유방암 진단시기
141,DC4_PR,유방암 현재 유병 여부 
142,DC4_PT,유방암 치료 여부 
143,DC5_DG,자궁경부암 의사진단 여부
144,DC5_AG,자궁경부암 진단시기
145,DC5_PR,자궁경부암 현재 유병 여부 
146,DC5_PT,자궁경부암 치료 여부 
147,DC6_DG,폐암 의사진단 여부
148,DC6_AG,폐암 진단시기
149,DC6_PR,폐암 현재 유병 여부 
150,DC6_PT,폐암 치료 여부 
151,DC7_DG,갑상선암 의사진단 여부
152,DC7_AG,갑상선암 진단시기
153,DC7_PR,갑상선암 현재 유병 여부 
154,DC7_PT,갑상선암 치료 여부 
155,DC11_TP,기타암1 의 종류 
156,DC11_DG,기타암1 의사진단 여부
157,DC11_AG,기타암1 진단시기
