,변수명,변수설명
0,mod_d,최종 DB 수정일
1,ID,개인 아이디
2,ID_fam,가구 아이디
3,year,조사연도
4,region,17개 시도
5,town_t,동/읍면 구분
6,apt_t,아파트 구분
7,psu,조사구번호
8,sex,성별
9,age,만나이
10,age_month,월령
11,incm,소득 4분위수(개인)
12,ho_incm,소득 4분위수(가구)
13,incm5,소득 5분위수(개인)
14,ho_incm5,소득 5분위수(가구)
15,edu,교육수준 재분류 코드
16,occp,직업재분류 및 실업/비경제활동상태 코드
17,wt_hs,가구조사 가중치
18,wt_itvex,건강설문-검진조사 가중치
19,wt_pft,폐기능검사 가중치(만40세이상)
20,wt_hm,중금속검사 가중치(만10세이상)
21,wt_vt,비타민검사 가중치(만10세이상)
22,wt_nn,NNAL검사 가중치(만6세이상)
23,wt_ex1,안검사 가중치(만40세이상)
24,wt_ntr,영양조사 가중치
25,wt_tot,건강설문-검진조사 & 영양조사 가중치
26,wt_pfhm,폐기능검사 & 중금속검사 가중치(만40세이상)
27,wt_pfvt,폐기능검사 & 비타민검사 가중치(만40세이상)
28,wt_pfnt,폐기능검사 & 영양조사 가중치(만40세이상)
29,wt_hmnt,중금속검사 & 영양조사 가중치(만10세이상)
30,wt_vtnt,비타민검사 & 영양조사 가중치(만10세이상)
31,wt_nnnt,NNAL검사 & 영양조사 가중치(만6세이상)
32,wt_pfhmnt,폐기능검사 & 중금속검사 & 영양조사 가중치(만40세이상)
33,wt_pfvtnt,폐기능검사 & 비타민검사 & 영양조사 가중치(만40세이상)
34,wt_ex1nt,안검사 & 영양조사 가중치(만40세이상)
35,wt_ex1hm,안검사 & 중금속검사 가중치(만40세이상)
36,wt_ex1pf,안검사 & 폐기능검사 가중치(만40세이상)
37,wt_tot1,안검사 & 폐기능검사 & 중금속검사 가중치(만40세이상)
38,wt_ex1pfnt,안검사 & 폐기능검사 & 영양조사 가중치(만40세이상)
39,wt_ex1hmnt,안검사 & 중금속검사 & 영양조사 가중치(만40세이상)
40,wt_tot1nt,안검사 & 폐기능검사 & 중금속검사 & 영양조사 가중치(만40세이상)
41,wt_oe,검진구강조사 가중치
42,wt_oent,검진구강조사 & 영양조사 가중치
43,kstrata,분산추정 층 
44,cfam,가구원수
45,genertn,가구 세대구성코드
46,allownc,기초생활수급 여부
47,house,주택소유여부 
48,live_t,주택형태
49,ainc_unit1,가구총소득(개방형) : 소득단위
50,ainc_1,가구총소득(개방형) : 소득액
51,ainc,월평균 가구총소득
52,marri_1,결혼여부
53,marri_2,결혼상태
54,fam_rela,가구주와의 관계
55,tins,건강보험종류
56,npins,민간의료보험가입여부
57,ID_F,아버지 아이디
58,ID_M,어머니 아이디
59,D_1_1,주관적 건강상태
60,D_2_1,최근2주간 몸이 불편했던 경험 유무
61,D_2_wk,최근2주간 불편감일수
62,DI1_dg,고혈압 의사진단 여부 
63,DI1_ag,고혈압 진단시기
64,DI1_pr,고혈압 현재 유병 여부 
65,DI1_pt,고혈압 치료
66,DI1_2,혈압조절제 복용
67,DI2_dg,이상지질혈증 의사진단 여부 
68,DI2_ag,이상지질혈증 진단시기
69,DI2_pr,이상지질혈증 현재 유병 여부
70,DI2_pt,이상지질혈증 치료 
71,DI2_2,이상지질혈증 약복용
72,DI3_dg,뇌졸중 의사진단여부 
73,DI3_ag,뇌졸중 진단시기
74,DI3_pr,뇌졸중 현재 유병 여부 
75,DI3_pt,뇌졸중 치료 
76,DI3_2,뇌졸중 후유증
77,DI4_dg,심근경색증 또는 협심증 의사진단 여부
78,DI4_pr,심근경색증 또는 협심증 현재 유병 여부
79,DI4_pt,심근경색증 또는 협심증 치료
80,DI5_dg,심근경색증 의사진단 여부
81,DI5_ag,심근경색증 진단시기
82,DI5_pr,심근경색증 현재 유병 여부
83,DI5_pt,심근경색증 치료
84,DI6_dg,협심증 의사진단 여부
85,DI6_ag,협심증 진단시기
86,DI6_pr,협심증 현재 유병 여부
87,DI6_pt,협심증 치료
88,DM1_dg,관절염 의사진단 여부
89,DM1_pr,관절염 현재 유병 여부
90,DM1_pt,관절염 치료
91,DM2_dg,골관절염 의사진단 여부 
92,DM2_ag,골관절염 진단시기
93,DM2_pr,골관절염 현재 유병 여부 
94,DM2_pt,골관절염 치료 
95,DM3_dg,류마티스성 관절염 의사진단 여부
96,DM3_ag,류마티스성 관절염 진단시기
97,DM3_pr,류마티스성 관절염 현재 유병 여부
98,DM3_pt,류마티스성 관절염 치료
99,DM4_dg,골다공증 의사진단 여부
100,DM4_ag,골다공증 진단시기
101,DM4_pr,골다공증 현재 유병 여부
102,DM4_pt,골다공증 치료
103,DJ2_dg,폐결핵 의사진단 여부 
104,DJ2_ag,폐결핵 진단시기
105,DJ2_pr,폐결핵 현재 유병 여부 
106,DJ2_pt,폐결핵 치료 
107,DJ4_dg,천식 의사진단 여부
108,DJ4_ag,천식 진단시기
109,DJ4_pr,천식 현재 유병 여부 
110,DJ4_pt,천식 치료 
111,DJ4_3,천식 약복용
112,DE1_dg,당뇨병 의사진단 여부
113,DE1_ag,당뇨병 진단시기
114,DE1_pr,당뇨병 현재 유병 여부 
115,DE1_pt,당뇨병 치료 
116,DE1_3,당뇨병혈당관리치료여부
117,DE1_31,당뇨병혈당관리치료_인슐린 주사
118,DE1_32,당뇨병혈당관리치료_당뇨병약 
119,DE1_33,당뇨병혈당관리치료_비약물 요법
120,DE1_34,당뇨병혈당관리치료_기타
121,DE1_35,당뇨병혈당관리치료_기타상세
122,DE1_4,안저검사
123,DE2_dg,갑상선 질환 의사진단 여부 
124,DE2_ag,갑상선 질환 진단시기
125,DE2_pr,갑상선 질환 현재 유병 여부 
126,DE2_pt,갑상선 질환 치료 
127,DC1_dg,위암 의사진단 여부
128,DC1_ag,위암 진단시기
129,DC1_pr,위암 현재 유병 여부
130,DC1_pt,위암 치료 여부
131,DC2_dg,간암 의사진단 여부
132,DC2_ag,간암 진단시기
133,DC2_pr,간암 현재 유병 여부 
134,DC2_pt,간암 치료 여부 
135,DC3_dg,대장암 의사진단 여부
136,DC3_ag,대장암 진단시기
137,DC3_pr,대장암 현재 유병 여부 
138,DC3_pt,대장암 치료 여부 
139,DC4_dg,유방암 의사진단 여부
140,DC4_ag,유방암 진단시기
141,DC4_pr,유방암 현재 유병 여부 
142,DC4_pt,유방암 치료 여부 
143,DC5_dg,자궁경부암 의사진단 여부
144,DC5_ag,자궁경부암 진단시기
145,DC5_pr,자궁경부암 현재 유병 여부 
146,DC5_pt,자궁경부암 치료 여부 
147,DC6_dg,폐암 의사진단 여부
148,DC6_ag,폐암 진단시기
149,DC6_pr,폐암 현재 유병 여부 
150,DC6_pt,폐암 치료 여부 
151,DC7_dg,갑상선암 의사진단 여부
152,DC7_ag,갑상선암 진단시기
153,DC7_pr,갑상선암 현재 유병 여부 
154,DC7_pt,갑상선암 치료 여부 
155,DC11_tp,기타암1 의 종류 
156,DC11_dg,기타암1 의사진단 여부
157,DC11_ag,기타암1 진단시기
158,DC11_pr,기타암1 현재 유병 여부 
159,DC11_pt,기타암1 치료 여부 
160,DC12_tp,기타암2 의 종류 
