,변수명,변수설명7,변수설명8
0,mod_d,최종 DB 수정일,최종 DB 수정일
1,ID,개인 아이디,개인 아이디
2,ID_fam,가구 아이디,가구 아이디
3,year,조사연도,조사연도
4,region,17개 시도,17개 시도
5,town_t,동/읍면 구분,동/읍면 구분
6,apt_t,아파트 구분,아파트 구분
7,psu,조사구번호,조사구번호
8,sex,성별,성별
9,age,만나이,만나이
10,age_month,월령,월령
11,incm,소득 4분위수(개인),소득 4분위수(개인)
12,ho_incm,소득 4분위수(가구),소득 4분위수(가구)
13,incm5,소득 5분위수(개인),소득 5분위수(개인)
14,ho_incm5,소득 5분위수(가구),소득 5분위수(가구)
15,edu,교육수준 재분류 코드,교육수준 재분류 코드
16,occp,직업재분류 및 실업/비경제활동상태 코드,직업재분류 및 실업/비경제활동상태 코드
17,wt_hs,가구조사 가중치,가구조사 가중치
18,wt_itvex,건강설문-검진조사 가중치,건강설문-검진조사 가중치
19,wt_pft,폐기능검사 가중치(만40세이상),폐기능검사 가중치(만40세이상)
24,wt_ntr,영양조사 가중치,영양조사 가중치
25,wt_tot,건강설문-검진조사 & 영양조사 가중치,건강설문-검진조사 & 영양조사 가중치
28,wt_pfnt,폐기능검사 & 영양조사 가중치(만40세이상),폐기능검사 & 영양조사 가중치(만40세이상)
43,kstrata,분산추정 층 ,분산추정 층 
44,cfam,가구원수,가구원수
45,genertn,가구 세대구성코드,가구 세대구성코드
46,allownc,기초생활수급 여부,기초생활수급 여부
48,live_t,주택형태,주택형태
51,ainc,월평균 가구총소득,월평균 가구총소득
52,marri_1,결혼여부,결혼여부
53,marri_2,결혼상태,결혼상태
54,fam_rela,가구주와의 관계,가구주와의 관계
55,tins,건강보험종류,건강보험종류
57,ID_F,아버지 아이디,아버지 아이디
58,ID_M,어머니 아이디,어머니 아이디
61,D_2_wk,최근2주간 불편감일수,최근2주간 불편감일수
62,DI1_dg,고혈압 의사진단 여부 ,고혈압 의사진단 여부 
63,DI1_ag,고혈압 진단시기,고혈압 진단시기
64,DI1_pr,고혈압 현재 유병 여부 ,고혈압 현재 유병 여부 
65,DI1_pt,고혈압 치료,고혈압 치료
66,DI1_2,혈압조절제 복용,혈압조절제 복용
68,DI2_ag,이상지질혈증 진단시기,이상지질혈증 진단시기
69,DI2_pr,이상지질혈증 현재 유병 여부,이상지질혈증 현재 유병 여부
71,DI2_2,이상지질혈증 약복용,이상지질혈증 약복용
73,DI3_ag,뇌졸중 진단시기,뇌졸중 진단시기
76,DI3_2,뇌졸중 후유증,뇌졸중 후유증
77,DI4_dg,심근경색증 또는 협심증 의사진단 여부,심근경색증 또는 협심증 의사진단 여부
78,DI4_pr,심근경색증 또는 협심증 현재 유병 여부,심근경색증 또는 협심증 현재 유병 여부
79,DI4_pt,심근경색증 또는 협심증 치료,심근경색증 또는 협심증 치료
80,DI5_dg,심근경색증 의사진단 여부,심근경색증 의사진단 여부
81,DI5_ag,심근경색증 진단시기,심근경색증 진단시기
82,DI5_pr,심근경색증 현재 유병 여부,심근경색증 현재 유병 여부
83,DI5_pt,심근경색증 치료,심근경색증 치료
84,DI6_dg,협심증 의사진단 여부,협심증 의사진단 여부
85,DI6_ag,협심증 진단시기,협심증 진단시기
86,DI6_pr,협심증 현재 유병 여부,협심증 현재 유병 여부
87,DI6_pt,협심증 치료,협심증 치료
88,DM1_dg,관절염 의사진단 여부,관절염 의사진단 여부
89,DM1_pr,관절염 현재 유병 여부,관절염 현재 유병 여부
90,DM1_pt,관절염 치료,관절염 치료
92,DM2_ag,골관절염 진단시기,골관절염 진단시기
95,DM3_dg,류마티스성 관절염 의사진단 여부,류마티스성 관절염 의사진단 여부
96,DM3_ag,류마티스성 관절염 진단시기,류마티스성 관절염 진단시기
97,DM3_pr,류마티스성 관절염 현재 유병 여부,류마티스성 관절염 현재 유병 여부
98,DM3_pt,류마티스성 관절염 치료,류마티스성 관절염 치료
99,DM4_dg,골다공증 의사진단 여부,골다공증 의사진단 여부
100,DM4_ag,골다공증 진단시기,골다공증 진단시기
101,DM4_pr,골다공증 현재 유병 여부,골다공증 현재 유병 여부
102,DM4_pt,골다공증 치료,골다공증 치료
104,DJ2_ag,폐결핵 진단시기,폐결핵 진단시기
107,DJ4_dg,천식 의사진단 여부,천식 의사진단 여부
108,DJ4_ag,천식 진단시기,천식 진단시기
110,DJ4_pt,천식 치료 ,천식 치료 
111,DJ4_3,천식 약복용,천식 약복용
112,DE1_dg,당뇨병 의사진단 여부,당뇨병 의사진단 여부
113,DE1_ag,당뇨병 진단시기,당뇨병 진단시기
116,DE1_3,당뇨병혈당관리치료여부,당뇨병혈당관리치료여부
122,DE1_4,안저검사,안저검사
124,DE2_ag,갑상선 질환 진단시기,갑상선 질환 진단시기
127,DC1_dg,위암 의사진단 여부,위암 의사진단 여부
128,DC1_ag,위암 진단시기,위암 진단시기
129,DC1_pr,위암 현재 유병 여부,위암 현재 유병 여부
130,DC1_pt,위암 치료 여부,위암 치료 여부
131,DC2_dg,간암 의사진단 여부,간암 의사진단 여부
132,DC2_ag,간암 진단시기,간암 진단시기
135,DC3_dg,대장암 의사진단 여부,대장암 의사진단 여부
136,DC3_ag,대장암 진단시기,대장암 진단시기
139,DC4_dg,유방암 의사진단 여부,유방암 의사진단 여부
140,DC4_ag,유방암 진단시기,유방암 진단시기
143,DC5_dg,자궁경부암 의사진단 여부,자궁경부암 의사진단 여부
144,DC5_ag,자궁경부암 진단시기,자궁경부암 진단시기
147,DC6_dg,폐암 의사진단 여부,폐암 의사진단 여부
148,DC6_ag,폐암 진단시기,폐암 진단시기
151,DC7_dg,갑상선암 의사진단 여부,갑상선암 의사진단 여부
152,DC7_ag,갑상선암 진단시기,갑상선암 진단시기
156,DC11_dg,기타암1 의사진단 여부,기타암1 의사진단 여부
157,DC11_ag,기타암1 진단시기,기타암1 진단시기
161,DC12_dg,기타암2 의사진단 여부,기타암2 의사진단 여부
162,DC12_ag,기타암2 진단시기,기타암2 진단시기
166,DF2_ag,우울증 진단시기,우울증 진단시기
167,DF2_pr,우울증 현재 유병 여부,우울증 현재 유병 여부
169,DL1_dg,아토피피부염 의사진단 여부,아토피피부염 의사진단 여부
170,DL1_ag,아토피피부염 진단시기,아토피피부염 진단시기
173,DJ8_dg,알레르기비염 의사진단 여부,알레르기비염 의사진단 여부
174,DJ8_ag,알레르기비염 진단시기,알레르기비염 진단시기
177,DJ6_dg,부비동염 의사진단 여부,부비동염 의사진단 여부
178,DJ6_ag,부비동염 진단시기,부비동염 진단시기
179,DJ6_pr,부비동염 현재 유병 여부,부비동염 현재 유병 여부
180,DJ6_pt,부비동염 치료,부비동염 치료
181,DH4_dg,중이염 의사진단 여부,중이염 의사진단 여부
182,DH4_ag,중이염 진단시기,중이염 진단시기
183,DH4_pr,중이염 현재 유병 여부,중이염 현재 유병 여부
184,DH4_pt,중이염 치료,중이염 치료
202,DK8_ag,B형간염 진단시기,B형간염 진단시기
206,DK9_ag,C형간염 진단시기,C형간염 진단시기
210,DK4_ag,간경변증 진단시기,간경변증 진단시기
221,M_2_yr,필요 의료서비스 미충족 여부,필요 의료서비스 미충족 여부
224,mt_nontrt,연간미충족여부(병의원),연간미충족여부(병의원)
246,BH2_61,(성인) 2년간 암검진 여부 ,(성인) 2년간 암검진 여부 
253,LQ4_00,활동제한 여부,활동제한 여부
254,LQ4_01,"활동제한 사유: 골절, 관절부상","활동제한 사유: 골절, 관절부상"
255,LQ4_02,활동제한 사유: 기타 손상,활동제한 사유: 기타 손상
256,LQ4_03,"활동제한 사유(성인): 관절염, 류마티즘","활동제한 사유(성인): 관절염, 류마티즘"
257,LQ4_04,활동제한 사유: 심장질환,활동제한 사유: 심장질환
258,LQ4_05,"활동제한 사유: 호흡문제, 폐질환, 천식","활동제한 사유: 호흡문제, 폐질환, 천식"
259,LQ4_06,활동제한 사유(성인): 뇌졸중,활동제한 사유(성인): 뇌졸중
260,LQ4_07,활동제한 사유(성인): 당뇨병,활동제한 사유(성인): 당뇨병
261,LQ4_08,활동제한 사유(성인): 고혈압,활동제한 사유(성인): 고혈압
262,LQ4_09,"활동제한 사유(성인): 등, 목의 문제","활동제한 사유(성인): 등, 목의 문제"
263,LQ4_10,활동제한 사유(성인): 암,활동제한 사유(성인): 암
264,LQ4_11,활동제한 사유: 치아 및 구강질환,활동제한 사유: 치아 및 구강질환
265,LQ4_12,활동제한 사유: 시력문제,활동제한 사유: 시력문제
266,LQ4_13,활동제한 사유: 청각문제,활동제한 사유: 청각문제
267,LQ4_14,활동제한 사유(성인): 치매,활동제한 사유(성인): 치매
268,LQ4_15,활동제한 사유: 우울/불안/정서상 문제,활동제한 사유: 우울/불안/정서상 문제
269,LQ4_16,활동제한 사유: 정신지체,활동제한 사유: 정신지체
270,LQ4_21,활동제한 사유(성인): 비만,활동제한 사유(성인): 비만
271,LQ4_22,활동제한 사유(성인): 노령,활동제한 사유(성인): 노령
272,LQ4_25,활동제한 사유(성인): 신부전,활동제한 사유(성인): 신부전
273,LQ4_26,활동제한 사유(성인): 어지럼증,활동제한 사유(성인): 어지럼증
274,LQ4_27,활동제한 사유(성인): 위장장애,활동제한 사유(성인): 위장장애
275,LQ4_28,"활동제한 사유(성인): 무릎, 다리통증(관절염 제외)","활동제한 사유(성인): 무릎, 다리통증(관절염 제외)"
276,LQ4_29,활동제한 사유(성인): 두통,활동제한 사유(성인): 두통
277,LQ4_23,활동제한 사유: 기타,활동제한 사유: 기타
283,LQ1_sb,최근 1달간 와병여부,최근 1달간 와병여부
284,LQ1_mn,최근 1달간 와병일수,최근 1달간 와병일수
287,LQ2_ab,최근 1달간 결근여부,최근 1달간 결근여부
288,LQ2_mn,최근 1달간 결근일수,최근 1달간 결근일수
296,EQ5D,EQ-5D index***,EQ-5D index***
298,AC3,손상 횟수,손상 횟수
339,AC8_1_01,손상1 치료,손상1 치료
340,AC8_1_02,손상2 치료,손상2 치료
341,AC8_1_03,손상3 치료,손상3 치료
342,AC8_1_04,손상4 치료,손상4 치료
343,AC8_1_05,손상5 치료,손상5 치료
410,MH1_yr,1년간 입원이용 여부,1년간 입원이용 여부
411,MH1_1,입원이용 횟수,입원이용 횟수
412,MO1_wk,2주간 외래이용 여부,2주간 외래이용 여부
420,EC1_1,경제활동 상태,경제활동 상태
423,EC_occp,(취업자) 표준직업분류 대분류 코드,(취업자) 표준직업분류 대분류 코드
424,EC_stt_1,(취업자) 종사상지위,(취업자) 종사상지위
427,EC_wht_0,(취업자) 정규직 여부,(취업자) 정규직 여부
428,EC_wht_23,주당 평균 근로시간,주당 평균 근로시간
429,EC_wht_5,변형근로시간,변형근로시간
432,EC_lgw_4,(성인) 최장일자리: 종사상지위,(성인) 최장일자리: 종사상지위
433,EC_lgw_5,(성인) 최장일자리: 종사상지위 상세,(성인) 최장일자리: 종사상지위 상세
434,EC_pedu_1,(성인) 유년기환경: 아버지 교육수준,(성인) 유년기환경: 아버지 교육수준
435,EC_pedu_2,(성인) 유년기환경: 어머니 교육수준,(성인) 유년기환경: 어머니 교육수준
441,BO3_01,체중조절방법: 운동,체중조절방법: 운동
443,BO3_03,체중조절방법: 식사량 감소,체중조절방법: 식사량 감소
444,BO3_14,체중조절방법: 결식(식사를 거름),체중조절방법: 결식(식사를 거름)
448,BO3_07,체중조절방법: 건강기능식품,체중조절방법: 건강기능식품
449,BO3_09,체중조절방법: 원푸드다이어트,체중조절방법: 원푸드다이어트
450,BO3_10,체중조절방법: 기타,체중조절방법: 기타
457,BD2_31,(만12세이상) 폭음 빈도,(만12세이상) 폭음 빈도
458,BD2_32,(성인) 여자 폭음 빈도,(성인) 여자 폭음 빈도
459,BD7_4,(성인) 가족/의사의 절주 권고 여부,(성인) 가족/의사의 절주 권고 여부
462,BD7_61,1년간 타인의 음주로 인한 피해 여부: 소란,1년간 타인의 음주로 인한 피해 여부: 소란
463,BD7_62,1년간 타인의 음주로 인한 피해 여부: 폭행,1년간 타인의 음주로 인한 피해 여부: 폭행
464,BD7_63,1년간 타인의 음주로 인한 피해 여부: 성추행,1년간 타인의 음주로 인한 피해 여부: 성추행
465,BD7_64,1년간 타인의 음주로 인한 피해 여부: 작업 또는 일상생활 중 사고,1년간 타인의 음주로 인한 피해 여부: 작업 또는 일상생활 중 사고
466,BD7_65,1년간 타인의 음주로 인한 피해 여부: 음주운전 사고,1년간 타인의 음주로 인한 피해 여부: 음주운전 사고
467,BD7_66,1년간 타인의 음주로 인한 피해 여부: 기타,1년간 타인의 음주로 인한 피해 여부: 기타
469,dr_month,월간음주율,월간음주율
470,BA2_12,(성인) 운전시 안전벨트 착용여부,(성인) 운전시 안전벨트 착용여부
474,BA2_2_1,(성인) 1년간 음주운전 여부: 자전거,(성인) 1년간 음주운전 여부: 자전거
475,BA2_2_2,(성인) 1년간 음주운전 횟수: 자전거,(성인) 1년간 음주운전 횟수: 자전거
476,BA2_2_3,(성인) 1년간 음주운전 여부: 오토바이,(성인) 1년간 음주운전 여부: 오토바이
477,BA2_2_4,(성인) 1년간 음주운전 횟수: 오토바이,(성인) 1년간 음주운전 횟수: 오토바이
478,BA2_2_5,(성인) 1년간 음주운전 여부: 자동차,(성인) 1년간 음주운전 여부: 자동차
479,BA2_2_6,(성인) 1년간 음주운전 횟수: 자동차,(성인) 1년간 음주운전 횟수: 자동차
480,BA2_22,(성인) 1년간 음주운전차량: 동승 횟수,(성인) 1년간 음주운전차량: 동승 횟수
481,BA1_1,(소아) 자동차 앞좌석 이용 여부,(소아) 자동차 앞좌석 이용 여부
482,BA1_2,(만6세미만) 자동차 보호장구 이용 여부,(만6세미만) 자동차 보호장구 이용 여부
484,sc_seatblt2,동승차량 앞좌석 안전벨트 착용률,동승차량 앞좌석 안전벨트 착용률
495,BP_PHQ_1,(성인) PHQ-9 문항1,(성인) PHQ-9 문항1
496,BP_PHQ_2,(성인) PHQ-9 문항2,(성인) PHQ-9 문항2
497,BP_PHQ_3,(성인) PHQ-9 문항3,(성인) PHQ-9 문항3
498,BP_PHQ_4,(성인) PHQ-9 문항4,(성인) PHQ-9 문항4
499,BP_PHQ_5,(성인) PHQ-9 문항5,(성인) PHQ-9 문항5
500,BP_PHQ_6,(성인) PHQ-9 문항6,(성인) PHQ-9 문항6
501,BP_PHQ_7,(성인) PHQ-9 문항7,(성인) PHQ-9 문항7
502,BP_PHQ_8,(성인) PHQ-9 문항8,(성인) PHQ-9 문항8
503,BP_PHQ_9,(성인) PHQ-9 문항9,(성인) PHQ-9 문항9
505,BP1,평소 스트레스 인지 정도,평소 스트레스 인지 정도
508,BP5,2주이상 연속 우울감 여부,2주이상 연속 우울감 여부
509,BP6_10,1년간 자살 생각 여부,1년간 자살 생각 여부
510,BP6_2,1년간 자살 계획 여부,1년간 자살 계획 여부
511,BP6_31,1년간 자살 시도 여부,1년간 자살 시도 여부
512,BP7,1년간 정신문제 상담,1년간 정신문제 상담
513,mh_stress,스트레스 인지율,스트레스 인지율
566,sm_presnt,현재흡연율,현재흡연율
587,BE8_1,평소 하루 앉아서 보내는 시간(시간),평소 하루 앉아서 보내는 시간(시간)
588,BE8_2,평소 하루 앉아서 보내는 시간(분),평소 하루 앉아서 보내는 시간(분)
589,BE3_31,1주일간 걷기 일수,1주일간 걷기 일수
590,BE3_32,걷기 지속 시간(시간),걷기 지속 시간(시간)
591,BE3_33,걷기 지속 시간(분),걷기 지속 시간(분)
592,BE5_1,1주일간 근력운동 일수,1주일간 근력운동 일수
594,pa_aerobic,유산소 신체활동 실천율,유산소 신체활동 실천율
596,LW_mp_e,무월경사유 기타,무월경사유 기타
597,LW_mp_a,폐경연령,폐경연령
598,LW_ms_a,초경연령,초경연령
604,LW_br,모유수유 경험 여부,모유수유 경험 여부
605,LW_br_ch,모유수유 자녀수,모유수유 자녀수
606,LW_br_dur,모유수유기간(월 환산),모유수유기간(월 환산)
607,LW_br_yy,모유수유기간(연),모유수유기간(연)
608,LW_br_mm,모유수유기간(월),모유수유기간(월)
609,LW_oc,경구피임약 복용여부,경구피임약 복용여부
610,HE_fst,공복시간,공복시간
612,HE_HPdr,검진당일 고혈압 약 복용 여부,검진당일 고혈압 약 복용 여부
614,HE_DMdr,검진당일 당뇨병 약 복용 여부,검진당일 당뇨병 약 복용 여부
615,HE_mens,생리여부,생리여부
616,HE_prg,임신여부,임신여부
617,HE_dprg,임신개월수,임신개월수
618,HE_fh,만성질환 의사진단 가족력 여부,만성질환 의사진단 가족력 여부
619,HE_HPfh1,고혈압 의사진단 여부(부),고혈압 의사진단 여부(부)
620,HE_HPfh2,고혈압 의사진단 여부(모),고혈압 의사진단 여부(모)
621,HE_HPfh3,고혈압 의사진단 여부(형제자매),고혈압 의사진단 여부(형제자매)
622,HE_HLfh1,고지혈증 의사진단 여부(부),고지혈증 의사진단 여부(부)
623,HE_HLfh2,고지혈증 의사진단 여부(모),고지혈증 의사진단 여부(모)
624,HE_HLfh3,고지혈증 의사진단 여부(형제자매),고지혈증 의사진단 여부(형제자매)
625,HE_IHDfh1,허혈성심장질환 의사진단 여부(부),허혈성심장질환 의사진단 여부(부)
626,HE_IHDfh2,허혈성심장질환 의사진단 여부(모),허혈성심장질환 의사진단 여부(모)
627,HE_IHDfh3,허혈성심장질환 의사진단 여부(형제자매),허혈성심장질환 의사진단 여부(형제자매)
628,HE_STRfh1,뇌졸중 의사진단 여부(부),뇌졸중 의사진단 여부(부)
629,HE_STRfh2,뇌졸중 의사진단 여부(모),뇌졸중 의사진단 여부(모)
630,HE_STRfh3,뇌졸중 의사진단 여부(형제자매),뇌졸중 의사진단 여부(형제자매)
631,HE_DMfh1,당뇨병 의사진단 여부(부),당뇨병 의사진단 여부(부)
632,HE_DMfh2,당뇨병 의사진단 여부(모),당뇨병 의사진단 여부(모)
633,HE_DMfh3,당뇨병 의사진단 여부(형제자매),당뇨병 의사진단 여부(형제자매)
634,HE_THfh1,갑상선질환 의사진단 여부(부),갑상선질환 의사진단 여부(부)
635,HE_THfh2,갑상선질환 의사진단 여부(모),갑상선질환 의사진단 여부(모)
636,HE_THfh3,갑상선질환 의사진단 여부(형제자매),갑상선질환 의사진단 여부(형제자매)
637,HE_HBfh1,B형간염 의사진단 여부(부),B형간염 의사진단 여부(부)
638,HE_HBfh2,B형간염 의사진단 여부(모),B형간염 의사진단 여부(모)
639,HE_HBfh3,B형간염 의사진단 여부(형제자매),B형간염 의사진단 여부(형제자매)
640,HE_rPLS,맥박 규칙성 여부,맥박 규칙성 여부
642,HE_mPLS,60초 맥박수,60초 맥박수
643,HE_nARM,혈압 측정 팔,혈압 측정 팔
644,HE_sbp1,1차 수축기 혈압,1차 수축기 혈압
645,HE_dbp1,1차 이완기 혈압,1차 이완기 혈압
646,HE_sbp2,2차 수축기 혈압,2차 수축기 혈압
647,HE_dbp2,2차 이완기 혈압,2차 이완기 혈압
648,HE_sbp3,3차 수축기 혈압,3차 수축기 혈압
649,HE_dbp3,3차 이완기 혈압,3차 이완기 혈압
650,HE_sbp,"최종 수축기 혈압(2,3차 평균)","최종 수축기 혈압(2,3차 평균)"
651,HE_dbp,"최종 이완기 혈압(2,3차 평균)","최종 이완기 혈압(2,3차 평균)"
652,HE_HP,고혈압 유병여부(19세이상),고혈압 유병여부(19세이상)
653,HE_ht,신장,신장
654,HE_wt,체중,체중
655,HE_wc,허리둘레,허리둘레
656,HE_BMI,체질량지수,체질량지수
657,HE_obe,비만 유병여부(19세이상),비만 유병여부(19세이상)
658,HE_wt_pct,소아청소년 체중 백분위수(1~18세),소아청소년 체중 백분위수(1~18세)
659,HE_BMI_pct,소아청소년 체질량지수 백분위수 (2~18세),소아청소년 체질량지수 백분위수 (2~18세)
660,HE_glu,공복혈당,공복혈당
661,HE_HbA1c,당화혈색소,당화혈색소
663,HE_chol,총콜레스테롤,총콜레스테롤
664,HE_HDL_st2,HDL-콜레스테롤(보정값),HDL-콜레스테롤(보정값)
665,HE_TG,중성지방,중성지방
666,HE_LDL_drct,LDL-콜레스테롤(직접검사),LDL-콜레스테롤(직접검사)
667,HE_HCHOL,고콜레스테롤혈증 유병여부(19세이상),고콜레스테롤혈증 유병여부(19세이상)
668,HE_HTG,고중성지방혈증 유병여부(10세이상),고중성지방혈증 유병여부(10세이상)
670,HE_ast,AST(SGOT),AST(SGOT)
671,HE_alt,ALT(SGPT),ALT(SGPT)
672,HE_alt_etc,ALT(SGPT) 장비분석범위,ALT(SGPT) 장비분석범위
673,HE_hepaB,B형간염표면항원 양성여부(10세이상),B형간염표면항원 양성여부(10세이상)
675,HE_hepaC,C형간염항체 양성여부(10세이상),C형간염항체 양성여부(10세이상)
676,HE_HB,헤모글로빈,헤모글로빈
677,HE_HCT,헤마토크리트,헤마토크리트
678,HE_anem,빈혈 유병여부(10세이상),빈혈 유병여부(10세이상)
679,HE_BUN,혈중요소질소,혈중요소질소
680,HE_crea,혈중크레아티닌,혈중크레아티닌
681,HE_WBC,백혈구,백혈구
682,HE_RBC,적혈구,적혈구
683,HE_Bplt,혈소판,혈소판
686,HE_Uacid,요산,요산
687,HE_Uacid_etc,요산 장비분석범위,요산 장비분석범위
696,HE_Uph,요산도,요산도
697,HE_Unitr,아질산염,아질산염
698,HE_Usg,요비중,요비중
699,HE_Upro,요단백,요단백
700,HE_Uglu,요당,요당
701,HE_Uket,요케톤,요케톤
702,HE_Ubil,요빌리루빈,요빌리루빈
703,HE_Ubld,요잠혈,요잠혈
704,HE_Uro,유로빌리노겐,유로빌리노겐
705,HE_Ucot,요코티닌,요코티닌
706,HE_Ucot_etc,요코티닌 검출한계,요코티닌 검출한계
710,HE_UNa,요나트륨,요나트륨
712,HE_Ukal,요칼륨,요칼륨
713,HE_Ukal_etc,요칼륨 장비분석범위,요칼륨 장비분석범위
714,HE_fvc,노력성 폐활량,노력성 폐활량
718,HE_fev1fvc,1초간 노력성 호기량 / 노력성 폐활량,1초간 노력성 호기량 / 노력성 폐활량
719,HE_fev6,6초간 노력성 호기량,6초간 노력성 호기량
720,HE_fef25_75,노력성 호기 중간유량,노력성 호기 중간유량
721,HE_pef,최대 호기유속,최대 호기유속
722,HE_COPD,폐기능 판정결과,폐기능 판정결과
723,HE_cough1,연속 3개월이상 기침 경험여부,연속 3개월이상 기침 경험여부
724,HE_cough2,연속 3개월이상 기침 경험기간,연속 3개월이상 기침 경험기간
725,HE_sput1,연속 3개월이상 가래 경험여부,연속 3개월이상 가래 경험여부
726,HE_sput2,연속 3개월이상 가래 경험기간,연속 3개월이상 가래 경험기간
727,HE_PFTdr,만성폐쇄성폐질환 의사진단 여부,만성폐쇄성폐질환 의사진단 여부
728,HE_PFTag,만성폐쇄성폐질환 의사진단 연령,만성폐쇄성폐질환 의사진단 연령
729,HE_PFTtr,만성폐쇄성폐질환 치료 여부,만성폐쇄성폐질환 치료 여부
730,HE_PFThs,만성폐쇄성폐질환 입원 여부,만성폐쇄성폐질환 입원 여부
761,OR1,본인인지 구강건강상태,본인인지 구강건강상태
762,O_pain,최근 1년간 치통 경험유무,최근 1년간 치통 경험유무
763,O_ortho,교정치료 경험 유무,교정치료 경험 유무
764,BM1_0,어제 하루 칫솔질 여부,어제 하루 칫솔질 여부
765,BM1_1,칫솔질 시기: 아침식사 전,칫솔질 시기: 아침식사 전
766,BM1_2,칫솔질 시기: 아침식사 후,칫솔질 시기: 아침식사 후
767,BM1_3,칫솔질 시기: 점심식사 전,칫솔질 시기: 점심식사 전
768,BM1_4,칫솔질 시기: 점심식사 후,칫솔질 시기: 점심식사 후
769,BM1_5,칫솔질 시기: 저녁식사 전,칫솔질 시기: 저녁식사 전
770,BM1_6,칫솔질 시기: 저녁식사 후,칫솔질 시기: 저녁식사 후
771,BM1_7,칫솔질 시기: 간식 후,칫솔질 시기: 간식 후
772,BM1_8,칫솔질 시기: 잠자기 전,칫솔질 시기: 잠자기 전
773,BM2_1,사용용품: 치실(Floss),사용용품: 치실(Floss)
774,BM2_3,사용용품: 치간칫솔,사용용품: 치간칫솔
775,BM2_2,사용용품: 양치용액(구강세정액),사용용품: 양치용액(구강세정액)
776,BM2_4,사용용품: 전동칫솔,사용용품: 전동칫솔
778,BM13,운동 또는 사고로 인한 치아손상 경험여부,운동 또는 사고로 인한 치아손상 경험여부
779,BM13_1,치아손상 사유: 운동,치아손상 사유: 운동
780,BM13_2,치아손상 사유: 폭력,치아손상 사유: 폭력
781,BM13_3,치아손상 사유: 교통사고,치아손상 사유: 교통사고
782,BM13_4,치아손상 사유: 안전사고,치아손상 사유: 안전사고
783,BM13_5,치아손상 사유: 기타,치아손상 사유: 기타
784,BM13_6,치아손상 사유: 기타상세,치아손상 사유: 기타상세
785,BM7,(성인) 씹기 문제,(성인) 씹기 문제
786,O_chew_d,저작불편 호소 여부,저작불편 호소 여부
787,BM8,(성인) 말하기 문제,(성인) 말하기 문제
788,OR1_2,최근 1년간 구강검진 여부,최근 1년간 구강검진 여부
789,MO4_00,치과병의원 이용 여부,치과병의원 이용 여부
793,MO4_8,진료항목: 치아신경치료,진료항목: 치아신경치료
796,MO4_12,진료항목: 다쳐서 빠지거나 부러진 치아 치료,진료항목: 다쳐서 빠지거나 부러진 치아 치료
799,BM14,치과진료 미치료 여부,치과진료 미치료 여부
800,BM14_1,치과진료 미치료 이유,치과진료 미치료 이유
801,BM14_2,치과진료 미치료 이유 기타상세,치과진료 미치료 이유 기타상세
803,T_Q_HR,본인 청력,본인 청력
850,GS_use,주요 사용하는 손,주요 사용하는 손
851,GS_mea_r_1,1차 악력측정_오른손,1차 악력측정_오른손
852,GS_mea_r_2,2차 악력측정_오른손,2차 악력측정_오른손
853,GS_mea_r_3,3차 악력측정_오른손,3차 악력측정_오른손
854,GS_mea_l_1,1차 악력측정_왼손,1차 악력측정_왼손
855,GS_mea_l_2,2차 악력측정_왼손,2차 악력측정_왼손
856,GS_mea_l_3,3차 악력측정_왼손,3차 악력측정_왼손
857,L_BR,식품섭취조사 1일 전 아침결식 여부,식품섭취조사 1일 전 아침결식 여부
858,L_LN,식품섭취조사 1일 전 점심결식 여부,식품섭취조사 1일 전 점심결식 여부
859,L_DN,식품섭취조사 1일 전 저녁결식 여부,식품섭취조사 1일 전 저녁결식 여부
860,L_BR_FQ,최근 1년 동안 1주 동안 아침식사 빈도,최근 1년 동안 1주 동안 아침식사 빈도
861,L_LN_FQ,최근 1년 동안 1주 동안 점심식사 빈도,최근 1년 동안 1주 동안 점심식사 빈도
862,L_DN_FQ,최근 1년동안 1주 동안 저녁식사 빈도,최근 1년동안 1주 동안 저녁식사 빈도
863,L_OUT_FQ,외식 횟수,외식 횟수
864,L_BR_TO,최근 1년 동안 아침식사 시 가족 및 가족 외 사람과의 동반 여부,최근 1년 동안 아침식사 시 가족 및 가족 외 사람과의 동반 여부
