,변수명,변수설명7,변수설명8
0,mod_d,최종 DB 수정일,최종 DB 수정일
1,ID,개인 아이디,개인 아이디
2,ID_fam,가구 아이디,가구 아이디
3,year,조사연도,조사연도
4,region,17개 시도,17개 시도
5,town_t,동/읍면 구분,동/읍면 구분
6,apt_t,아파트 구분,아파트 구분
7,psu,조사구번호,조사구번호
8,sex,성별,성별
9,age,만나이,만나이
10,age_month,월령,월령
11,incm,소득 4분위수(개인),소득 4분위수(개인)
12,ho_incm,소득 4분위수(가구),소득 4분위수(가구)
13,incm5,소득 5분위수(개인),소득 5분위수(개인)
14,ho_incm5,소득 5분위수(가구),소득 5분위수(가구)
15,edu,교육수준 재분류 코드,교육수준 재분류 코드
16,occp,직업재분류 및 실업/비경제활동상태 코드,직업재분류 및 실업/비경제활동상태 코드
17,wt_hs,가구조사 가중치,가구조사 가중치
18,wt_itvex,건강설문-검진조사 가중치,건강설문-검진조사 가중치
19,wt_pft,폐기능검사 가중치(만40세이상),폐기능검사 가중치(만40세이상)
20,wt_ntr,영양조사 가중치,영양조사 가중치
21,wt_tot,건강설문-검진조사 & 영양조사 가중치,건강설문-검진조사 & 영양조사 가중치
22,wt_pfnt,폐기능검사 & 영양조사 가중치(만40세이상),폐기능검사 & 영양조사 가중치(만40세이상)
23,kstrata,분산추정 층 ,분산추정 층 
24,cfam,가구원수,가구원수
25,genertn,가구 세대구성코드,가구 세대구성코드
26,allownc,기초생활수급 여부,기초생활수급 여부
27,live_t,주택형태,주택형태
28,ainc,월평균 가구총소득,월평균 가구총소득
29,marri_1,결혼여부,결혼여부
30,marri_2,결혼상태,결혼상태
31,fam_rela,가구주와의 관계,가구주와의 관계
32,tins,건강보험종류,건강보험종류
33,ID_F,아버지 아이디,아버지 아이디
34,ID_M,어머니 아이디,어머니 아이디
35,D_2_wk,최근2주간 불편감일수,최근2주간 불편감일수
36,DI1_dg,고혈압 의사진단 여부 ,고혈압 의사진단 여부 
37,DI1_ag,고혈압 진단시기,고혈압 진단시기
38,DI1_pr,고혈압 현재 유병 여부 ,고혈압 현재 유병 여부 
39,DI1_pt,고혈압 치료,고혈압 치료
40,DI1_2,혈압조절제 복용,혈압조절제 복용
41,DI2_ag,이상지질혈증 진단시기,이상지질혈증 진단시기
42,DI2_pr,이상지질혈증 현재 유병 여부,이상지질혈증 현재 유병 여부
43,DI2_2,이상지질혈증 약복용,이상지질혈증 약복용
44,DI3_ag,뇌졸중 진단시기,뇌졸중 진단시기
45,DI3_2,뇌졸중 후유증,뇌졸중 후유증
46,DI4_dg,심근경색증 또는 협심증 의사진단 여부,심근경색증 또는 협심증 의사진단 여부
47,DI4_pr,심근경색증 또는 협심증 현재 유병 여부,심근경색증 또는 협심증 현재 유병 여부
48,DI4_pt,심근경색증 또는 협심증 치료,심근경색증 또는 협심증 치료
49,DI5_dg,심근경색증 의사진단 여부,심근경색증 의사진단 여부
50,DI5_ag,심근경색증 진단시기,심근경색증 진단시기
51,DI5_pr,심근경색증 현재 유병 여부,심근경색증 현재 유병 여부
52,DI5_pt,심근경색증 치료,심근경색증 치료
53,DI6_dg,협심증 의사진단 여부,협심증 의사진단 여부
54,DI6_ag,협심증 진단시기,협심증 진단시기
55,DI6_pr,협심증 현재 유병 여부,협심증 현재 유병 여부
56,DI6_pt,협심증 치료,협심증 치료
57,DM1_dg,관절염 의사진단 여부,관절염 의사진단 여부
58,DM1_pr,관절염 현재 유병 여부,관절염 현재 유병 여부
59,DM1_pt,관절염 치료,관절염 치료
60,DM2_ag,골관절염 진단시기,골관절염 진단시기
61,DM3_dg,류마티스성 관절염 의사진단 여부,류마티스성 관절염 의사진단 여부
62,DM3_ag,류마티스성 관절염 진단시기,류마티스성 관절염 진단시기
63,DM3_pr,류마티스성 관절염 현재 유병 여부,류마티스성 관절염 현재 유병 여부
64,DM3_pt,류마티스성 관절염 치료,류마티스성 관절염 치료
65,DM4_dg,골다공증 의사진단 여부,골다공증 의사진단 여부
66,DM4_ag,골다공증 진단시기,골다공증 진단시기
67,DM4_pr,골다공증 현재 유병 여부,골다공증 현재 유병 여부
68,DM4_pt,골다공증 치료,골다공증 치료
69,DJ2_ag,폐결핵 진단시기,폐결핵 진단시기
70,DJ4_dg,천식 의사진단 여부,천식 의사진단 여부
71,DJ4_ag,천식 진단시기,천식 진단시기
72,DJ4_pt,천식 치료 ,천식 치료 
73,DJ4_3,천식 약복용,천식 약복용
74,DE1_dg,당뇨병 의사진단 여부,당뇨병 의사진단 여부
75,DE1_ag,당뇨병 진단시기,당뇨병 진단시기
76,DE1_3,당뇨병혈당관리치료여부,당뇨병혈당관리치료여부
77,DE1_4,안저검사,안저검사
78,DE2_ag,갑상선 질환 진단시기,갑상선 질환 진단시기
79,DC1_dg,위암 의사진단 여부,위암 의사진단 여부
80,DC1_ag,위암 진단시기,위암 진단시기
81,DC1_pr,위암 현재 유병 여부,위암 현재 유병 여부
82,DC1_pt,위암 치료 여부,위암 치료 여부
83,DC2_dg,간암 의사진단 여부,간암 의사진단 여부
84,DC2_ag,간암 진단시기,간암 진단시기
85,DC3_dg,대장암 의사진단 여부,대장암 의사진단 여부
86,DC3_ag,대장암 진단시기,대장암 진단시기
87,DC4_dg,유방암 의사진단 여부,유방암 의사진단 여부
88,DC4_ag,유방암 진단시기,유방암 진단시기
89,DC5_dg,자궁경부암 의사진단 여부,자궁경부암 의사진단 여부
90,DC5_ag,자궁경부암 진단시기,자궁경부암 진단시기
91,DC6_dg,폐암 의사진단 여부,폐암 의사진단 여부
92,DC6_ag,폐암 진단시기,폐암 진단시기
93,DC7_dg,갑상선암 의사진단 여부,갑상선암 의사진단 여부
94,DC7_ag,갑상선암 진단시기,갑상선암 진단시기
95,DC11_dg,기타암1 의사진단 여부,기타암1 의사진단 여부
96,DC11_ag,기타암1 진단시기,기타암1 진단시기
97,DC12_dg,기타암2 의사진단 여부,기타암2 의사진단 여부
98,DC12_ag,기타암2 진단시기,기타암2 진단시기
99,DF2_ag,우울증 진단시기,우울증 진단시기
100,DF2_pr,우울증 현재 유병 여부,우울증 현재 유병 여부
101,DL1_dg,아토피피부염 의사진단 여부,아토피피부염 의사진단 여부
102,DL1_ag,아토피피부염 진단시기,아토피피부염 진단시기
103,DJ8_dg,알레르기비염 의사진단 여부,알레르기비염 의사진단 여부
104,DJ8_ag,알레르기비염 진단시기,알레르기비염 진단시기
105,DJ6_dg,부비동염 의사진단 여부,부비동염 의사진단 여부
106,DJ6_ag,부비동염 진단시기,부비동염 진단시기
107,DJ6_pr,부비동염 현재 유병 여부,부비동염 현재 유병 여부
108,DJ6_pt,부비동염 치료,부비동염 치료
109,DH4_dg,중이염 의사진단 여부,중이염 의사진단 여부
110,DH4_ag,중이염 진단시기,중이염 진단시기
111,DH4_pr,중이염 현재 유병 여부,중이염 현재 유병 여부
112,DH4_pt,중이염 치료,중이염 치료
113,DK8_ag,B형간염 진단시기,B형간염 진단시기
114,DK9_ag,C형간염 진단시기,C형간염 진단시기
115,DK4_ag,간경변증 진단시기,간경변증 진단시기
116,M_2_yr,필요 의료서비스 미충족 여부,필요 의료서비스 미충족 여부
117,mt_nontrt,연간미충족여부(병의원),연간미충족여부(병의원)
118,BH2_61,(성인) 2년간 암검진 여부 ,(성인) 2년간 암검진 여부 
119,LQ4_00,활동제한 여부,활동제한 여부
120,LQ4_01,"활동제한 사유: 골절, 관절부상","활동제한 사유: 골절, 관절부상"
121,LQ4_02,활동제한 사유: 기타 손상,활동제한 사유: 기타 손상
122,LQ4_03,"활동제한 사유(성인): 관절염, 류마티즘","활동제한 사유(성인): 관절염, 류마티즘"
123,LQ4_04,활동제한 사유: 심장질환,활동제한 사유: 심장질환
124,LQ4_05,"활동제한 사유: 호흡문제, 폐질환, 천식","활동제한 사유: 호흡문제, 폐질환, 천식"
125,LQ4_06,활동제한 사유(성인): 뇌졸중,활동제한 사유(성인): 뇌졸중
126,LQ4_07,활동제한 사유(성인): 당뇨병,활동제한 사유(성인): 당뇨병
127,LQ4_08,활동제한 사유(성인): 고혈압,활동제한 사유(성인): 고혈압
128,LQ4_09,"활동제한 사유(성인): 등, 목의 문제","활동제한 사유(성인): 등, 목의 문제"
129,LQ4_10,활동제한 사유(성인): 암,활동제한 사유(성인): 암
130,LQ4_11,활동제한 사유: 치아 및 구강질환,활동제한 사유: 치아 및 구강질환
131,LQ4_12,활동제한 사유: 시력문제,활동제한 사유: 시력문제
132,LQ4_13,활동제한 사유: 청각문제,활동제한 사유: 청각문제
133,LQ4_14,활동제한 사유(성인): 치매,활동제한 사유(성인): 치매
134,LQ4_15,활동제한 사유: 우울/불안/정서상 문제,활동제한 사유: 우울/불안/정서상 문제
135,LQ4_16,활동제한 사유: 정신지체,활동제한 사유: 정신지체
136,LQ4_21,활동제한 사유(성인): 비만,활동제한 사유(성인): 비만
137,LQ4_22,활동제한 사유(성인): 노령,활동제한 사유(성인): 노령
138,LQ4_25,활동제한 사유(성인): 신부전,활동제한 사유(성인): 신부전
139,LQ4_26,활동제한 사유(성인): 어지럼증,활동제한 사유(성인): 어지럼증
140,LQ4_27,활동제한 사유(성인): 위장장애,활동제한 사유(성인): 위장장애
141,LQ4_28,"활동제한 사유(성인): 무릎, 다리통증(관절염 제외)","활동제한 사유(성인): 무릎, 다리통증(관절염 제외)"
142,LQ4_29,활동제한 사유(성인): 두통,활동제한 사유(성인): 두통
143,LQ4_23,활동제한 사유: 기타,활동제한 사유: 기타
144,LQ1_sb,최근 1달간 와병여부,최근 1달간 와병여부
145,LQ1_mn,최근 1달간 와병일수,최근 1달간 와병일수
146,LQ2_ab,최근 1달간 결근여부,최근 1달간 결근여부
147,LQ2_mn,최근 1달간 결근일수,최근 1달간 결근일수
148,EQ5D,EQ-5D index***,EQ-5D index***
149,AC3,손상 횟수,손상 횟수
150,AC8_1_01,손상1 치료,손상1 치료
151,AC8_1_02,손상2 치료,손상2 치료
152,AC8_1_03,손상3 치료,손상3 치료
153,AC8_1_04,손상4 치료,손상4 치료
154,AC8_1_05,손상5 치료,손상5 치료
155,MH1_yr,1년간 입원이용 여부,1년간 입원이용 여부
156,MH1_1,입원이용 횟수,입원이용 횟수
157,MO1_wk,2주간 외래이용 여부,2주간 외래이용 여부
158,EC1_1,경제활동 상태,경제활동 상태
159,EC_occp,(취업자) 표준직업분류 대분류 코드,(취업자) 표준직업분류 대분류 코드
160,EC_stt_1,(취업자) 종사상지위,(취업자) 종사상지위
161,EC_wht_0,(취업자) 정규직 여부,(취업자) 정규직 여부
162,EC_wht_23,주당 평균 근로시간,주당 평균 근로시간
163,EC_wht_5,변형근로시간,변형근로시간
164,EC_lgw_4,(성인) 최장일자리: 종사상지위,(성인) 최장일자리: 종사상지위
165,EC_lgw_5,(성인) 최장일자리: 종사상지위 상세,(성인) 최장일자리: 종사상지위 상세
166,EC_pedu_1,(성인) 유년기환경: 아버지 교육수준,(성인) 유년기환경: 아버지 교육수준
167,EC_pedu_2,(성인) 유년기환경: 어머니 교육수준,(성인) 유년기환경: 어머니 교육수준
168,BO3_01,체중조절방법: 운동,체중조절방법: 운동
169,BO3_03,체중조절방법: 식사량 감소,체중조절방법: 식사량 감소
170,BO3_14,체중조절방법: 결식(식사를 거름),체중조절방법: 결식(식사를 거름)
171,BO3_07,체중조절방법: 건강기능식품,체중조절방법: 건강기능식품
172,BO3_09,체중조절방법: 원푸드다이어트,체중조절방법: 원푸드다이어트
173,BO3_10,체중조절방법: 기타,체중조절방법: 기타
174,BD2_31,(만12세이상) 폭음 빈도,(만12세이상) 폭음 빈도
175,BD2_32,(성인) 여자 폭음 빈도,(성인) 여자 폭음 빈도
176,BD7_4,(성인) 가족/의사의 절주 권고 여부,(성인) 가족/의사의 절주 권고 여부
177,BD7_61,1년간 타인의 음주로 인한 피해 여부: 소란,1년간 타인의 음주로 인한 피해 여부: 소란
178,BD7_62,1년간 타인의 음주로 인한 피해 여부: 폭행,1년간 타인의 음주로 인한 피해 여부: 폭행
179,BD7_63,1년간 타인의 음주로 인한 피해 여부: 성추행,1년간 타인의 음주로 인한 피해 여부: 성추행
180,BD7_64,1년간 타인의 음주로 인한 피해 여부: 작업 또는 일상생활 중 사고,1년간 타인의 음주로 인한 피해 여부: 작업 또는 일상생활 중 사고
181,BD7_65,1년간 타인의 음주로 인한 피해 여부: 음주운전 사고,1년간 타인의 음주로 인한 피해 여부: 음주운전 사고
182,BD7_66,1년간 타인의 음주로 인한 피해 여부: 기타,1년간 타인의 음주로 인한 피해 여부: 기타
183,dr_month,월간음주율,월간음주율
184,BA2_12,(성인) 운전시 안전벨트 착용여부,(성인) 운전시 안전벨트 착용여부
185,BA2_2_1,(성인) 1년간 음주운전 여부: 자전거,(성인) 1년간 음주운전 여부: 자전거
186,BA2_2_2,(성인) 1년간 음주운전 횟수: 자전거,(성인) 1년간 음주운전 횟수: 자전거
187,BA2_2_3,(성인) 1년간 음주운전 여부: 오토바이,(성인) 1년간 음주운전 여부: 오토바이
188,BA2_2_4,(성인) 1년간 음주운전 횟수: 오토바이,(성인) 1년간 음주운전 횟수: 오토바이
189,BA2_2_5,(성인) 1년간 음주운전 여부: 자동차,(성인) 1년간 음주운전 여부: 자동차
190,BA2_2_6,(성인) 1년간 음주운전 횟수: 자동차,(성인) 1년간 음주운전 횟수: 자동차
191,BA2_22,(성인) 1년간 음주운전차량: 동승 횟수,(성인) 1년간 음주운전차량: 동승 횟수
192,BA1_1,(소아) 자동차 앞좌석 이용 여부,(소아) 자동차 앞좌석 이용 여부
193,BA1_2,(만6세미만) 자동차 보호장구 이용 여부,(만6세미만) 자동차 보호장구 이용 여부
194,sc_seatblt2,동승차량 앞좌석 안전벨트 착용률,동승차량 앞좌석 안전벨트 착용률
195,BP_PHQ_1,(성인) PHQ-9 문항1,(성인) PHQ-9 문항1
196,BP_PHQ_2,(성인) PHQ-9 문항2,(성인) PHQ-9 문항2
197,BP_PHQ_3,(성인) PHQ-9 문항3,(성인) PHQ-9 문항3
198,BP_PHQ_4,(성인) PHQ-9 문항4,(성인) PHQ-9 문항4
199,BP_PHQ_5,(성인) PHQ-9 문항5,(성인) PHQ-9 문항5
200,BP_PHQ_6,(성인) PHQ-9 문항6,(성인) PHQ-9 문항6
201,BP_PHQ_7,(성인) PHQ-9 문항7,(성인) PHQ-9 문항7
202,BP_PHQ_8,(성인) PHQ-9 문항8,(성인) PHQ-9 문항8
203,BP_PHQ_9,(성인) PHQ-9 문항9,(성인) PHQ-9 문항9
204,BP1,평소 스트레스 인지 정도,평소 스트레스 인지 정도
205,BP5,2주이상 연속 우울감 여부,2주이상 연속 우울감 여부
206,BP6_10,1년간 자살 생각 여부,1년간 자살 생각 여부
207,BP6_2,1년간 자살 계획 여부,1년간 자살 계획 여부
208,BP6_31,1년간 자살 시도 여부,1년간 자살 시도 여부
209,BP7,1년간 정신문제 상담,1년간 정신문제 상담
210,mh_stress,스트레스 인지율,스트레스 인지율
211,sm_presnt,현재흡연율,현재흡연율
212,BE8_1,평소 하루 앉아서 보내는 시간(시간),평소 하루 앉아서 보내는 시간(시간)
213,BE8_2,평소 하루 앉아서 보내는 시간(분),평소 하루 앉아서 보내는 시간(분)
214,BE3_31,1주일간 걷기 일수,1주일간 걷기 일수
215,BE3_32,걷기 지속 시간(시간),걷기 지속 시간(시간)
216,BE3_33,걷기 지속 시간(분),걷기 지속 시간(분)
217,BE5_1,1주일간 근력운동 일수,1주일간 근력운동 일수
218,pa_aerobic,유산소 신체활동 실천율,유산소 신체활동 실천율
219,LW_mp_e,무월경사유 기타,무월경사유 기타
220,LW_mp_a,폐경연령,폐경연령
221,LW_ms_a,초경연령,초경연령
222,LW_br,모유수유 경험 여부,모유수유 경험 여부
223,LW_br_ch,모유수유 자녀수,모유수유 자녀수
224,LW_br_dur,모유수유기간(월 환산),모유수유기간(월 환산)
225,LW_br_yy,모유수유기간(연),모유수유기간(연)
226,LW_br_mm,모유수유기간(월),모유수유기간(월)
227,LW_oc,경구피임약 복용여부,경구피임약 복용여부
228,HE_fst,공복시간,공복시간
229,HE_HPdr,검진당일 고혈압 약 복용 여부,검진당일 고혈압 약 복용 여부
230,HE_DMdr,검진당일 당뇨병 약 복용 여부,검진당일 당뇨병 약 복용 여부
231,HE_mens,생리여부,생리여부
232,HE_prg,임신여부,임신여부
233,HE_dprg,임신개월수,임신개월수
234,HE_fh,만성질환 의사진단 가족력 여부,만성질환 의사진단 가족력 여부
235,HE_HPfh1,고혈압 의사진단 여부(부),고혈압 의사진단 여부(부)
236,HE_HPfh2,고혈압 의사진단 여부(모),고혈압 의사진단 여부(모)
237,HE_HPfh3,고혈압 의사진단 여부(형제자매),고혈압 의사진단 여부(형제자매)
238,HE_HLfh1,고지혈증 의사진단 여부(부),고지혈증 의사진단 여부(부)
239,HE_HLfh2,고지혈증 의사진단 여부(모),고지혈증 의사진단 여부(모)
240,HE_HLfh3,고지혈증 의사진단 여부(형제자매),고지혈증 의사진단 여부(형제자매)
241,HE_IHDfh1,허혈성심장질환 의사진단 여부(부),허혈성심장질환 의사진단 여부(부)
242,HE_IHDfh2,허혈성심장질환 의사진단 여부(모),허혈성심장질환 의사진단 여부(모)
243,HE_IHDfh3,허혈성심장질환 의사진단 여부(형제자매),허혈성심장질환 의사진단 여부(형제자매)
244,HE_STRfh1,뇌졸중 의사진단 여부(부),뇌졸중 의사진단 여부(부)
245,HE_STRfh2,뇌졸중 의사진단 여부(모),뇌졸중 의사진단 여부(모)
246,HE_STRfh3,뇌졸중 의사진단 여부(형제자매),뇌졸중 의사진단 여부(형제자매)
247,HE_DMfh1,당뇨병 의사진단 여부(부),당뇨병 의사진단 여부(부)
248,HE_DMfh2,당뇨병 의사진단 여부(모),당뇨병 의사진단 여부(모)
249,HE_DMfh3,당뇨병 의사진단 여부(형제자매),당뇨병 의사진단 여부(형제자매)
250,HE_THfh1,갑상선질환 의사진단 여부(부),갑상선질환 의사진단 여부(부)
251,HE_THfh2,갑상선질환 의사진단 여부(모),갑상선질환 의사진단 여부(모)
252,HE_THfh3,갑상선질환 의사진단 여부(형제자매),갑상선질환 의사진단 여부(형제자매)
253,HE_HBfh1,B형간염 의사진단 여부(부),B형간염 의사진단 여부(부)
254,HE_HBfh2,B형간염 의사진단 여부(모),B형간염 의사진단 여부(모)
255,HE_HBfh3,B형간염 의사진단 여부(형제자매),B형간염 의사진단 여부(형제자매)
256,HE_rPLS,맥박 규칙성 여부,맥박 규칙성 여부
257,HE_mPLS,60초 맥박수,60초 맥박수
258,HE_nARM,혈압 측정 팔,혈압 측정 팔
259,HE_sbp1,1차 수축기 혈압,1차 수축기 혈압
260,HE_dbp1,1차 이완기 혈압,1차 이완기 혈압
261,HE_sbp2,2차 수축기 혈압,2차 수축기 혈압
262,HE_dbp2,2차 이완기 혈압,2차 이완기 혈압
263,HE_sbp3,3차 수축기 혈압,3차 수축기 혈압
264,HE_dbp3,3차 이완기 혈압,3차 이완기 혈압
265,HE_sbp,"최종 수축기 혈압(2,3차 평균)","최종 수축기 혈압(2,3차 평균)"
266,HE_dbp,"최종 이완기 혈압(2,3차 평균)","최종 이완기 혈압(2,3차 평균)"
267,HE_HP,고혈압 유병여부(19세이상),고혈압 유병여부(19세이상)
268,HE_ht,신장,신장
269,HE_wt,체중,체중
270,HE_wc,허리둘레,허리둘레
271,HE_BMI,체질량지수,체질량지수
272,HE_obe,비만 유병여부(19세이상),비만 유병여부(19세이상)
273,HE_wt_pct,소아청소년 체중 백분위수(1~18세),소아청소년 체중 백분위수(1~18세)
274,HE_BMI_pct,소아청소년 체질량지수 백분위수 (2~18세),소아청소년 체질량지수 백분위수 (2~18세)
275,HE_glu,공복혈당,공복혈당
276,HE_HbA1c,당화혈색소,당화혈색소
277,HE_chol,총콜레스테롤,총콜레스테롤
278,HE_HDL_st2,HDL-콜레스테롤(보정값),HDL-콜레스테롤(보정값)
279,HE_TG,중성지방,중성지방
280,HE_LDL_drct,LDL-콜레스테롤(직접검사),LDL-콜레스테롤(직접검사)
281,HE_HCHOL,고콜레스테롤혈증 유병여부(19세이상),고콜레스테롤혈증 유병여부(19세이상)
282,HE_HTG,고중성지방혈증 유병여부(10세이상),고중성지방혈증 유병여부(10세이상)
283,HE_ast,AST(SGOT),AST(SGOT)
284,HE_alt,ALT(SGPT),ALT(SGPT)
285,HE_alt_etc,ALT(SGPT) 장비분석범위,ALT(SGPT) 장비분석범위
286,HE_hepaB,B형간염표면항원 양성여부(10세이상),B형간염표면항원 양성여부(10세이상)
287,HE_hepaC,C형간염항체 양성여부(10세이상),C형간염항체 양성여부(10세이상)
288,HE_HB,헤모글로빈,헤모글로빈
289,HE_HCT,헤마토크리트,헤마토크리트
290,HE_anem,빈혈 유병여부(10세이상),빈혈 유병여부(10세이상)
291,HE_BUN,혈중요소질소,혈중요소질소
292,HE_crea,혈중크레아티닌,혈중크레아티닌
293,HE_WBC,백혈구,백혈구
294,HE_RBC,적혈구,적혈구
295,HE_Bplt,혈소판,혈소판
296,HE_Uacid,요산,요산
297,HE_Uacid_etc,요산 장비분석범위,요산 장비분석범위
298,HE_Uph,요산도,요산도
299,HE_Unitr,아질산염,아질산염
300,HE_Usg,요비중,요비중
301,HE_Upro,요단백,요단백
302,HE_Uglu,요당,요당
303,HE_Uket,요케톤,요케톤
304,HE_Ubil,요빌리루빈,요빌리루빈
305,HE_Ubld,요잠혈,요잠혈
306,HE_Uro,유로빌리노겐,유로빌리노겐
307,HE_Ucot,요코티닌,요코티닌
308,HE_Ucot_etc,요코티닌 검출한계,요코티닌 검출한계
309,HE_UNa,요나트륨,요나트륨
310,HE_Ukal,요칼륨,요칼륨
311,HE_Ukal_etc,요칼륨 장비분석범위,요칼륨 장비분석범위
312,HE_fvc,노력성 폐활량,노력성 폐활량
313,HE_fvcp,노력성 폐활량 (정상추정치와의 비율),노력성 폐활량 (정상추정치와의 비율)
314,HE_fev1,1초간 노력성 호기량,1초간 노력성 호기량
315,HE_fev1p,1초간 노력성 호기량 (정상추정치와의 비율),1초간 노력성 호기량 (정상추정치와의 비율)
316,HE_fev1fvc,1초간 노력성 호기량 / 노력성 폐활량,1초간 노력성 호기량 / 노력성 폐활량
317,HE_fev6,6초간 노력성 호기량,6초간 노력성 호기량
318,HE_fef25_75,노력성 호기 중간유량,노력성 호기 중간유량
319,HE_pef,최대 호기유속,최대 호기유속
320,HE_COPD,폐기능 판정결과,폐기능 판정결과
321,HE_cough1,연속 3개월이상 기침 경험여부,연속 3개월이상 기침 경험여부
322,HE_cough2,연속 3개월이상 기침 경험기간,연속 3개월이상 기침 경험기간
323,HE_sput1,연속 3개월이상 가래 경험여부,연속 3개월이상 가래 경험여부
324,HE_sput2,연속 3개월이상 가래 경험기간,연속 3개월이상 가래 경험기간
325,HE_PFTdr,만성폐쇄성폐질환 의사진단 여부,만성폐쇄성폐질환 의사진단 여부
326,HE_PFTag,만성폐쇄성폐질환 의사진단 연령,만성폐쇄성폐질환 의사진단 연령
327,HE_PFTtr,만성폐쇄성폐질환 치료 여부,만성폐쇄성폐질환 치료 여부
328,HE_PFThs,만성폐쇄성폐질환 입원 여부,만성폐쇄성폐질환 입원 여부
329,OR1,본인인지 구강건강상태,본인인지 구강건강상태
330,O_pain,최근 1년간 치통 경험유무,최근 1년간 치통 경험유무
331,O_ortho,교정치료 경험 유무,교정치료 경험 유무
332,BM1_0,어제 하루 칫솔질 여부,어제 하루 칫솔질 여부
333,BM1_1,칫솔질 시기: 아침식사 전,칫솔질 시기: 아침식사 전
334,BM1_2,칫솔질 시기: 아침식사 후,칫솔질 시기: 아침식사 후
335,BM1_3,칫솔질 시기: 점심식사 전,칫솔질 시기: 점심식사 전
336,BM1_4,칫솔질 시기: 점심식사 후,칫솔질 시기: 점심식사 후
337,BM1_5,칫솔질 시기: 저녁식사 전,칫솔질 시기: 저녁식사 전
338,BM1_6,칫솔질 시기: 저녁식사 후,칫솔질 시기: 저녁식사 후
339,BM1_7,칫솔질 시기: 간식 후,칫솔질 시기: 간식 후
340,BM1_8,칫솔질 시기: 잠자기 전,칫솔질 시기: 잠자기 전
341,BM2_1,사용용품: 치실(Floss),사용용품: 치실(Floss)
342,BM2_3,사용용품: 치간칫솔,사용용품: 치간칫솔
343,BM2_2,사용용품: 양치용액(구강세정액),사용용품: 양치용액(구강세정액)
344,BM2_4,사용용품: 전동칫솔,사용용품: 전동칫솔
345,BM13,운동 또는 사고로 인한 치아손상 경험여부,운동 또는 사고로 인한 치아손상 경험여부
346,BM13_1,치아손상 사유: 운동,치아손상 사유: 운동
347,BM13_2,치아손상 사유: 폭력,치아손상 사유: 폭력
348,BM13_3,치아손상 사유: 교통사고,치아손상 사유: 교통사고
349,BM13_4,치아손상 사유: 안전사고,치아손상 사유: 안전사고
350,BM13_5,치아손상 사유: 기타,치아손상 사유: 기타
351,BM13_6,치아손상 사유: 기타상세,치아손상 사유: 기타상세
352,BM7,(성인) 씹기 문제,(성인) 씹기 문제
353,O_chew_d,저작불편 호소 여부,저작불편 호소 여부
354,BM8,(성인) 말하기 문제,(성인) 말하기 문제
355,OR1_2,최근 1년간 구강검진 여부,최근 1년간 구강검진 여부
356,MO4_00,치과병의원 이용 여부,치과병의원 이용 여부
357,MO4_8,진료항목: 치아신경치료,진료항목: 치아신경치료
358,MO4_12,진료항목: 다쳐서 빠지거나 부러진 치아 치료,진료항목: 다쳐서 빠지거나 부러진 치아 치료
359,BM14,치과진료 미치료 여부,치과진료 미치료 여부
360,BM14_1,치과진료 미치료 이유,치과진료 미치료 이유
361,BM14_2,치과진료 미치료 이유 기타상세,치과진료 미치료 이유 기타상세
362,T_Q_HR,본인 청력,본인 청력
363,GS_use,주요 사용하는 손,주요 사용하는 손
364,GS_mea_r_1,1차 악력측정_오른손,1차 악력측정_오른손
365,GS_mea_r_2,2차 악력측정_오른손,2차 악력측정_오른손
366,GS_mea_r_3,3차 악력측정_오른손,3차 악력측정_오른손
367,GS_mea_l_1,1차 악력측정_왼손,1차 악력측정_왼손
368,GS_mea_l_2,2차 악력측정_왼손,2차 악력측정_왼손
369,GS_mea_l_3,3차 악력측정_왼손,3차 악력측정_왼손
370,L_BR,식품섭취조사 1일 전 아침결식 여부,식품섭취조사 1일 전 아침결식 여부
371,L_LN,식품섭취조사 1일 전 점심결식 여부,식품섭취조사 1일 전 점심결식 여부
372,L_DN,식품섭취조사 1일 전 저녁결식 여부,식품섭취조사 1일 전 저녁결식 여부
373,L_BR_FQ,최근 1년 동안 1주 동안 아침식사 빈도,최근 1년 동안 1주 동안 아침식사 빈도
374,L_LN_FQ,최근 1년 동안 1주 동안 점심식사 빈도,최근 1년 동안 1주 동안 점심식사 빈도
