,변수명,변수설명7,변수설명8
0,ID,개인 아이디,개인 아이디
1,ID_FAM,가구 아이디,가구 아이디
2,REGION,17개 시도,17개 시도
3,TOWN_T,동/읍면 구분,동/읍면 구분
4,APT_T,아파트 구분,아파트 구분
5,PSU,조사구번호,조사구번호
6,SEX,성별,성별
7,AGE,만나이,만나이
8,INCM,소득 4분위수(개인),소득 4분위수(개인)
9,HO_INCM,소득 4분위수(가구),소득 4분위수(가구)
10,INCM5,소득 5분위수(개인),소득 5분위수(개인)
11,HO_INCM5,소득 5분위수(가구),소득 5분위수(가구)
12,EDU,교육수준 재분류 코드,교육수준 재분류 코드
13,OCCP,직업재분류 및 실업/비경제활동상태 코드,직업재분류 및 실업/비경제활동상태 코드
14,WT_HS,가구조사 가중치,가구조사 가중치
15,WT_ITVEX,건강설문-검진조사 가중치,건강설문-검진조사 가중치
16,WT_PFT,폐기능검사 가중치(만40세이상),폐기능검사 가중치(만40세이상)
17,WT_NTR,영양조사 가중치,영양조사 가중치
18,WT_TOT,건강설문-검진조사 & 영양조사 가중치,건강설문-검진조사 & 영양조사 가중치
19,WT_PFNT,폐기능검사 & 영양조사 가중치(만40세이상),폐기능검사 & 영양조사 가중치(만40세이상)
20,KSTRATA,분산추정 층 ,분산추정 층 
21,CFAM,가구원수,가구원수
22,GENERTN,가구 세대구성코드,가구 세대구성코드
23,ALLOWNC,기초생활수급 여부,기초생활수급 여부
24,LIVE_T,주택형태,주택형태
25,AINC,월평균 가구총소득,월평균 가구총소득
26,MARRI_1,결혼여부,결혼여부
27,MARRI_2,결혼상태,결혼상태
28,FAM_RELA,가구주와의 관계,가구주와의 관계
29,TINS,건강보험종류,건강보험종류
30,ID_F,아버지 아이디,아버지 아이디
31,ID_M,어머니 아이디,어머니 아이디
32,D_2_WK,최근2주간 불편감일수,최근2주간 불편감일수
33,DI1_DG,고혈압 의사진단 여부 ,고혈압 의사진단 여부 
34,DI1_AG,고혈압 진단시기,고혈압 진단시기
35,DI1_PT,고혈압 치료,고혈압 치료
36,DI1_2,혈압조절제 복용,혈압조절제 복용
37,DI2_AG,이상지질혈증 진단시기,이상지질혈증 진단시기
38,DI2_2,이상지질혈증 약복용,이상지질혈증 약복용
39,DI3_AG,뇌졸중 진단시기,뇌졸중 진단시기
40,DI3_2,뇌졸중 후유증,뇌졸중 후유증
41,DI4_DG,심근경색증 또는 협심증 의사진단 여부,심근경색증 또는 협심증 의사진단 여부
42,DI4_PT,심근경색증 또는 협심증 치료,심근경색증 또는 협심증 치료
