,음식코드명
잡곡밥,17103
"김치찌개,돼지고기",5659
배추김치,5301
"김밥,채소",5066
불고기,4761
잔멸치볶음(잔멸치만),4273
"시금치나물,간장,소금",4169
쌀밥,4042
"미역국,소고기",3997
"잔멸치볶음,견과류",3985
짬뽕,3325
짜장면,3321
"소스,카레",3318
"콩나물무침,콩나물만,고춧가루제외",2964
"돼지고기볶음,채소",2707
무생채,2666
호박나물,2663
돼지고기볶음,2632
된장찌개,2611
피자,2582
고사리나물,2503
가지나물,2449
어묵볶음(어묵만),2430
"무국,소고기",2391
"커피,밀크커피(자판기,커피믹스)",2388
"된장찌개,두부,호박",2379
"샐러드,채소",2265
"닭튀김,양념",2213
오징어채볶음,2209
"콩조림(콩자반),검정콩",2125
비빔밥,2122
"콩나물무침,콩나물만,고춧가루",2108
"된장국,시래기",2090
"김밥,참치",2055
"커피,원두커피,블랙커피",2000
"겉절이,배추",1950
잡채,1892
김밥(대표),1857
양념장,1809
두부조림,1765
"냉면,물냉면",1740
쌈장,1739
무말랭이무침,1685
탕수육,1625
멸치볶음(멸치만),1617
"취나물무침,간장,소금",1560
볶음밥,1554
"스파게티,토마토",1546
돈까스,1522
"어묵볶음,채소",1516
"갈비구이,돼지",1489
"볶음밥,김치",1439
오이생채(오이만),1433
"잔멸치볶음,꽈리고추",1412
우유,1380
고등어조림,1377
"된장찌개,두부,호박,버섯",1328
콩나물국(콩나물만),1319
"불고기,돼지고기",1315
"어묵국(어묵탕),고춧가루제외",1310
추어탕,1306
짬뽕국,1296
김구이,1259
잔멸치볶음,1255
파무침,1246
닭볶음(닭갈비),1239
떡볶이,1226
청국장찌개,1219
열무김치,1191
"스파게티,크림",1189
부대찌개,1177
"육개장,소고기",1176
"고구마줄기나물,고춧가루",1169
미역국(미역만),1168
"국수,잔치국수",1165
우동,1148
오이김치,1107
도라지생채,1105
미역줄기볶음,1092
"샐러드,양배추",1079
"떡볶이,어묵",1072
된장국,1063
"달걀말이,채소(대표)",1055
"샐러드,양상추",1042
우엉조림,1041
소세지볶음,1038
오이지무침,1033
도라지나물,1031
"겉절이,상추",1023
사과,1020
"된장국,배추",1013
"전골,곱창전골",1008
연근조림,983
감자탕,981
"콩나물무침,콩나물만",972
"불고기,오리",916
감자조림,907
두부부침,898
상추,897
깍두기,896
부추김치,896
"국수,비빔국수",893
오이생채,877
무나물,875
주꾸미볶음,871
"소스,짜장",867
오징어볶음,854
김치볶음(김치만),853
"고등어구이,기름",851
달걀부침(달걀후라이),850
"된장찌개,두부",849
"김치찌개,돼지고기삼겹살",844
보리밥,827
"잔멸치볶음,풋고추",825
"멸치볶음,꽈리고추",796
콩나물국,791
머위나물,788
"스파게티,로제",780
깻잎나물,776
감자볶음(감자만),757
혼합잡곡밥,748
"된장국,왜된장국,미소된장국",737
김치찌개,721
달걀국,717
고구마줄기나물,714
샌드위치,704
곰탕,703
"덮밥,돼지고기",701
동태찌개(생태찌개),696
"갈비구이,소",688
"볶음밥,채소",677
"육개장,닭고기",665
시금치나물,664
"멸치볶음,견과류",663
"요구르트,호상",659
라면(대표),659
갈비탕,652
소고기국,646
"감자볶음,채소",638
오징어채무침,638
부추전,637
"국수,비빔막국수",627
어묵볶음,625
닭도리탕(닭매운탕),624
샤브사브,621
귤,620
순대국,610
"볶음밥,계란",608
"된장국,아욱",592
"달걀찜,달걀만",589
"볶음밥,새우",588
"닭조림,닭도리탕",587
콩비지찌개,584
"무생채,초무침",584
"김치찜,돼지갈비",584
미역국,581
"버섯볶음,느타리",576
"된장국,두부",568
"고추,풋고추",556
숙주나물(숙주만),554
김치전,548
"현미밥,쌀",544
수제비,543
"된장국,호박",542
"해장국,뼈다귀",532
"장조림,소고기",531
"멸치볶음,풋고추",525
"장조림,소고기,메추리알",525
"떡만두국,고기만두",521
"칼국수,바지락",519
소등심구이,518
콜라,518
호박전,517
칼국수,515
"죽,닭죽",513
달걀말이,512
"국수,모밀국수",509
"라면,달걀",506
"만두,고기만두",503
시리얼,497
"청국장찌개,두부,채소",496
"장조림,메추리알",494
"된장찌개,소고기",489
스넥과자,484
"죽,채소죽",477
"라면,컵라면",476
"국수,쌀국수",474
양파무침,472
소주,468
"달걀,삶은계란",468
"꽃게장,간장",462
낙지볶음,459
라면(라면만),454
순두부찌개,452
"잡채,소고기",450
"장조림,돼지고기,메추리알",450
흑미밥,447
"부추무침,부추만",447
버섯볶음,446
떡갈비,443
고춧잎나물,442
"김밥,치즈",442
부추무침,440
떡국,440
"갈치구이,기름",440
노각무침,434
"김밥,돈까스",432
