,dis,var,Cor,dis_설명,var_설명
139,DC1_PR,DK4_PT,0.5,위암 현재 유병 여부,간경변증 치료 
120,DC1_PR,DJ6_PT,0.612,위암 현재 유병 여부,부비동염 치료
155,DC1_PR,BS12_47,-1.0,위암 현재 유병 여부,(성인) 현재사용담배종류: 찐담배
20,DC1_PR,BE3_78,-0.577,위암 현재 유병 여부,여가_고강도 신체활동 시간(분)
39,DC1_PR,DC1_PT,0.772,위암 현재 유병 여부,위암 치료 여부
71,DC1_PR,BE3_76,0.855,위암 현재 유병 여부,여가_고강도 신체활동 일수
177,DC1_PR,DC2_PT,0.577,위암 현재 유병 여부,간암 치료 여부 
191,DC2_PR,BE5_1,-0.546,간암 현재 유병 여부 ,1주일간 근력운동 일수
189,DC2_PR,DE1_4,-0.667,간암 현재 유병 여부 ,안저검사
216,DC2_PR,BE3_86,-0.5,간암 현재 유병 여부 ,여가_중강도 신체활동 일수
215,DC2_PR,BE3_91,-0.418,간암 현재 유병 여부 ,장소이동 신체활동 여부
214,DC2_PR,BS9_2,-0.4,간암 현재 유병 여부 ,(만6세이상) 가정실내 간접흡연 노출 여부
213,DC2_PR,BO1_3,-1.0,간암 현재 유병 여부 ,(성인) 1년간 체중 증가량
212,DC2_PR,BO1,0.446,간암 현재 유병 여부 ,주관적 체형인식
208,DC2_PR,BH1_1,-0.577,간암 현재 유병 여부 ,(성인) 건강검진 _본인부담종합
218,DC2_PR,BE3_88,-1.0,간암 현재 유병 여부 ,여가_중강도 신체활동 시간(분)
190,DC2_PR,MH1_YR,-0.418,간암 현재 유병 여부 ,1년간 입원이용 여부
192,DC2_PR,LW_BR_MM,0.545,간암 현재 유병 여부 ,모유수유기간(월)
193,DC2_PR,LW_OC,-0.408,간암 현재 유병 여부 ,경구피임약 복용여부
205,DC2_PR,DJ8_PT,1.0,간암 현재 유병 여부 ,알레르기비염 치료 
204,DC2_PR,DE1_31,0.577,간암 현재 유병 여부 ,당뇨병혈당관리치료_인슐린 주사
195,DC2_PR,HE_UPH,-0.431,간암 현재 유병 여부 ,요산도
196,DC2_PR,HE_USG,0.476,간암 현재 유병 여부 ,요비중
197,DC2_PR,BM1_6,0.467,간암 현재 유병 여부 ,칫솔질 시기: 저녁식사 후
198,DC2_PR,O_CHEW_D,0.418,간암 현재 유병 여부 ,저작불편 호소 여부
209,DC2_PR,BH2_63,-0.5,간암 현재 유병 여부 ,(성인) 암검진_본인부담특정
200,DC2_PR,BM14_1,-0.497,간암 현재 유병 여부 ,치과진료 미치료 이유
221,DC2_PR,LW_PR_1,0.514,간암 현재 유병 여부 ,(만15세이상)임신횟수
223,DC2_PR,T_Q_VN,-0.444,간암 현재 유병 여부 ,이명 여부
140,DC2_PR,DK4_PT,0.791,간암 현재 유병 여부 ,간경변증 치료 
121,DC2_PR,DJ6_PT,1.0,간암 현재 유병 여부 ,부비동염 치료
173,DC2_PR,DE1_3,0.612,간암 현재 유병 여부 ,당뇨병혈당관리치료여부
222,DC2_PR,MO4_18,0.527,간암 현재 유병 여부 ,"진료항목: 보철물 제작,수리 (브릿지, 임플란트, 틀니 등의 보철물)"
178,DC2_PR,DC2_PT,0.716,간암 현재 유병 여부 ,간암 치료 여부 
183,DC2_PR,DK8_PT,0.529,간암 현재 유병 여부 ,B형간염 치료 
175,DC2_PR,DE1_PT,0.612,간암 현재 유병 여부 ,당뇨병 치료 
199,DC2_PR,BM8,0.447,간암 현재 유병 여부 ,(성인) 말하기 문제
225,DC2_PR,N_FOLATE,-0.45,간암 현재 유병 여부 ,엽산
141,DC3_PR,DK4_PT,1.0,대장암 현재 유병 여부 ,간경변증 치료 
148,DC3_PR,BS5,0.43,대장암 현재 유병 여부 ,(성인) 1년간 하루이상 금연 여부
74,DC3_PR,DM4_PT,0.5,대장암 현재 유병 여부 ,골다공증 치료
156,DC3_PR,BS12_47,-0.5,대장암 현재 유병 여부 ,(성인) 현재사용담배종류: 찐담배
161,DC3_PR,DF2_PT,0.447,대장암 현재 유병 여부 ,우울증 치료 
206,DC3_PR,DJ8_PT,0.73,대장암 현재 유병 여부 ,알레르기비염 치료 
21,DC3_PR,BE3_78,-1.0,대장암 현재 유병 여부 ,여가_고강도 신체활동 시간(분)
226,DC3_PR,DI3_2,0.471,대장암 현재 유병 여부 ,뇌졸중 후유증
25,DC3_PR,DI4_PT,0.43,대장암 현재 유병 여부 ,심근경색증 또는 협심증 치료
78,DC3_PR,DC6_PT,1.0,대장암 현재 유병 여부 ,폐암 치료 여부 
93,DC3_PR,DJ4_3,-0.632,대장암 현재 유병 여부 ,천식 약복용
72,DC3_PR,BE3_76,0.693,대장암 현재 유병 여부 ,여가_고강도 신체활동 일수
229,DC3_PR,BP5,0.455,대장암 현재 유병 여부 ,2주이상 연속 우울감 여부
62,DC3_PR,DC3_PT,0.652,대장암 현재 유병 여부 ,대장암 치료 여부 
171,DC4_PR,BE3_82,-0.693,유방암 현재 유병 여부 ,일_중강도 신체활동 일수
180,DC4_PR,DE2_PT,-0.667,유방암 현재 유병 여부 ,갑상선 질환 치료 
60,DC4_PR,DM3_PT,1.0,유방암 현재 유병 여부 ,류마티스성 관절염 치료
187,DC4_PR,DH4_PT,0.632,유방암 현재 유병 여부 ,중이염 치료
166,DC4_PR,AC3,0.612,유방암 현재 유병 여부 ,손상 횟수
134,DC4_PR,DC4_PT,0.721,유방암 현재 유병 여부 ,유방암 치료 여부 
54,DC4_PR,DL1_PT,-1.0,유방암 현재 유병 여부 ,아토피피부염 치료 
230,DC4_PR,HE_MPLS,-0.42,유방암 현재 유병 여부 ,60초 맥박수
219,DC4_PR,BE3_88,-0.459,유방암 현재 유병 여부 ,여가_중강도 신체활동 시간(분)
217,DC4_PR,BE3_86,-0.721,유방암 현재 유병 여부 ,여가_중강도 신체활동 일수
201,DC5_PR,BM14_1,0.885,자궁경부암 현재 유병 여부 ,치과진료 미치료 이유
240,DC5_PR,DC5_PT,0.81,자궁경부암 현재 유병 여부 ,자궁경부암 치료 여부 
239,DC5_PR,O_PAIN,0.47,자궁경부암 현재 유병 여부 ,최근 1년간 치통 경험유무
238,DC5_PR,HE_SPUT1,0.427,자궁경부암 현재 유병 여부 ,연속 3개월이상 가래 경험여부
237,DC5_PR,HE_UCOT,0.64,자궁경부암 현재 유병 여부 ,요코티닌
235,DC5_PR,HE_ALT,0.406,자궁경부암 현재 유병 여부 ,ALT(SGPT)
232,DC5_PR,EC_WHT_23,0.533,자궁경부암 현재 유병 여부 ,주당 평균 근로시간
224,DC5_PR,T_Q_VN,0.415,자궁경부암 현재 유병 여부 ,이명 여부
233,DC5_PR,HE_AST,0.405,자궁경부암 현재 유병 여부 ,AST(SGOT)
210,DC6_PR,BH2_63,0.522,폐암 현재 유병 여부 ,(성인) 암검진_본인부담특정
128,DC6_PR,LK_LB_IT,-0.564,폐암 현재 유병 여부 ,영양표시 중 관심영양소
247,DC6_PR,LW_MT_A1,0.52,폐암 현재 유병 여부 ,(만15세이상)첫 출산연령
245,DC6_PR,DE1_33,-0.462,폐암 현재 유병 여부 ,당뇨병혈당관리치료_비약물 요법
243,DC6_PR,N_DIET_WHY,-0.529,폐암 현재 유병 여부 ,식사요법이유
118,DC6_PR,BS12_2,-1.0,폐암 현재 유병 여부 ,(성인) 전자담배 현재사용여부
114,DC6_PR,BS5_4,-1.0,폐암 현재 유병 여부 ,(성인) 니코틴의존
241,DC6_PR,HE_LDL_DRCT,-0.947,폐암 현재 유병 여부 ,LDL-콜레스테롤(직접검사)
194,DC6_PR,LW_OC,-0.426,폐암 현재 유병 여부 ,경구피임약 복용여부
83,DC6_PR,HE_PFTAG,0.778,폐암 현재 유병 여부 ,만성폐쇄성폐질환 의사진단 연령
207,DC6_PR,DJ8_PT,0.408,폐암 현재 유병 여부 ,알레르기비염 치료 
75,DC6_PR,DM4_PT,0.548,폐암 현재 유병 여부 ,골다공증 치료
184,DC6_PR,DK8_PT,0.5,폐암 현재 유병 여부 ,B형간염 치료 
79,DC6_PR,DC6_PT,0.667,폐암 현재 유병 여부 ,폐암 치료 여부 
202,DC7_PR,BM14_1,0.435,갑상선암 현재 유병 여부 ,치과진료 미치료 이유
64,DC7_PR,DC7_PT,0.745,갑상선암 현재 유병 여부 ,갑상선암 치료 여부 
94,DC7_PR,DJ4_3,0.577,갑상선암 현재 유병 여부 ,천식 약복용
231,DC7_PR,HE_MPLS,0.571,갑상선암 현재 유병 여부 ,60초 맥박수
162,DC7_PR,DF2_PT,-0.408,갑상선암 현재 유병 여부 ,우울증 치료 
88,DC7_PR,DJ4_PT,0.577,갑상선암 현재 유병 여부 ,천식 치료 
248,DC7_PR,BO1_2,-0.418,갑상선암 현재 유병 여부 ,(성인) 1년간 체중 감소량
251,DC7_PR,BS3_2,0.98,갑상선암 현재 유병 여부 ,(성인) 하루평균 흡연량
253,DC7_PR,BS6_4,-0.51,갑상선암 현재 유병 여부 ,(성인) 과거흡연자 금연기간(월 환산)
44,DE1_PR,BE3_72,-0.62,당뇨병 현재 유병 여부 ,일_고강도 신체활동 일수
150,DE1_PR,DN1_PR,0.474,당뇨병 현재 유병 여부 ,신부전 현재 유병 여부 
176,DE1_PR,DC2_PT,0.408,당뇨병 현재 유병 여부 ,간암 치료 여부 
174,DE1_PR,DE1_PT,0.755,당뇨병 현재 유병 여부 ,당뇨병 치료 
172,DE1_PR,DE1_3,0.759,당뇨병 현재 유병 여부 ,당뇨병혈당관리치료여부
137,DE1_PR,DK4_PT,0.48,당뇨병 현재 유병 여부 ,간경변증 치료 
51,DE2_PR,BE3_74,0.756,갑상선 질환 현재 유병 여부 ,일_고강도 신체활동 시간(분)
124,DE2_PR,HE_PFTTR,-0.577,갑상선 질환 현재 유병 여부 ,만성폐쇄성폐질환 치료 여부
132,DE2_PR,DC4_PT,-0.612,갑상선 질환 현재 유병 여부 ,유방암 치료 여부 
147,DE2_PR,BS5,0.408,갑상선 질환 현재 유병 여부 ,(성인) 1년간 하루이상 금연 여부
82,DE2_PR,HE_PFTAG,-0.671,갑상선 질환 현재 유병 여부 ,만성폐쇄성폐질환 의사진단 연령
45,DE2_PR,BE3_72,-0.866,갑상선 질환 현재 유병 여부 ,일_고강도 신체활동 일수
19,DE2_PR,BE3_78,0.775,갑상선 질환 현재 유병 여부 ,여가_고강도 신체활동 시간(분)
70,DE2_PR,BE3_76,-0.693,갑상선 질환 현재 유병 여부 ,여가_고강도 신체활동 일수
182,DE2_PR,DK8_PT,0.5,갑상선 질환 현재 유병 여부 ,B형간염 치료 
99,DE2_PR,DC11_PR,-0.5,갑상선 질환 현재 유병 여부 ,기타암1 현재 유병 여부 
179,DE2_PR,DE2_PT,0.872,갑상선 질환 현재 유병 여부 ,갑상선 질환 치료 
38,DF2_PR,DC1_PT,-1.0,우울증 현재 유병 여부,위암 치료 여부
17,DF2_PR,BE3_78,-0.433,우울증 현재 유병 여부,여가_고강도 신체활동 시간(분)
146,DF2_PR,BS5,-0.482,우울증 현재 유병 여부,(성인) 1년간 하루이상 금연 여부
43,DF2_PR,BE3_72,1.0,우울증 현재 유병 여부,일_고강도 신체활동 일수
30,DF2_PR,DI5_PT,0.447,우울증 현재 유병 여부,심근경색증 치료
50,DF2_PR,BE3_74,-1.0,우울증 현재 유병 여부,일_고강도 신체활동 시간(분)
68,DF2_PR,BE3_76,0.556,우울증 현재 유병 여부,여가_고강도 신체활동 일수
160,DF2_PR,DF2_PT,0.682,우울증 현재 유병 여부,우울증 치료 
