,변수명,변수설명7,변수설명8
1,ID,개인 아이디,개인 아이디
2,ID_FAM,가구 아이디,가구 아이디
4,REGION,17개 시도,17개 시도
5,TOWN_T,동/읍면 구분,동/읍면 구분
6,APT_T,아파트 구분,아파트 구분
7,PSU,조사구번호,조사구번호
8,SEX,성별,성별
9,AGE,만나이,만나이
11,INCM,소득 4분위수(개인),소득 4분위수(개인)
12,HO_INCM,소득 4분위수(가구),소득 4분위수(가구)
13,INCM5,소득 5분위수(개인),소득 5분위수(개인)
14,HO_INCM5,소득 5분위수(가구),소득 5분위수(가구)
15,EDU,교육수준 재분류 코드,교육수준 재분류 코드
16,OCCP,직업재분류 및 실업/비경제활동상태 코드,직업재분류 및 실업/비경제활동상태 코드
17,WT_HS,가구조사 가중치,가구조사 가중치
18,WT_ITVEX,건강설문-검진조사 가중치,건강설문-검진조사 가중치
19,WT_PFT,폐기능검사 가중치(만40세이상),폐기능검사 가중치(만40세이상)
20,WT_NTR,영양조사 가중치,영양조사 가중치
21,WT_TOT,건강설문-검진조사 & 영양조사 가중치,건강설문-검진조사 & 영양조사 가중치
22,WT_PFNT,폐기능검사 & 영양조사 가중치(만40세이상),폐기능검사 & 영양조사 가중치(만40세이상)
23,KSTRATA,분산추정 층 ,분산추정 층 
24,CFAM,가구원수,가구원수
25,GENERTN,가구 세대구성코드,가구 세대구성코드
26,ALLOWNC,기초생활수급 여부,기초생활수급 여부
27,LIVE_T,주택형태,주택형태
28,AINC,월평균 가구총소득,월평균 가구총소득
29,MARRI_1,결혼여부,결혼여부
30,MARRI_2,결혼상태,결혼상태
31,FAM_RELA,가구주와의 관계,가구주와의 관계
32,TINS,건강보험종류,건강보험종류
33,ID_F,아버지 아이디,아버지 아이디
34,ID_M,어머니 아이디,어머니 아이디
35,D_2_WK,최근2주간 불편감일수,최근2주간 불편감일수
36,DI1_DG,고혈압 의사진단 여부 ,고혈압 의사진단 여부 
37,DI1_AG,고혈압 진단시기,고혈압 진단시기
39,DI1_PT,고혈압 치료,고혈압 치료
40,DI1_2,혈압조절제 복용,혈압조절제 복용
41,DI2_AG,이상지질혈증 진단시기,이상지질혈증 진단시기
43,DI2_2,이상지질혈증 약복용,이상지질혈증 약복용
44,DI3_AG,뇌졸중 진단시기,뇌졸중 진단시기
45,DI3_2,뇌졸중 후유증,뇌졸중 후유증
46,DI4_DG,심근경색증 또는 협심증 의사진단 여부,심근경색증 또는 협심증 의사진단 여부
48,DI4_PT,심근경색증 또는 협심증 치료,심근경색증 또는 협심증 치료
49,DI5_DG,심근경색증 의사진단 여부,심근경색증 의사진단 여부
50,DI5_AG,심근경색증 진단시기,심근경색증 진단시기
52,DI5_PT,심근경색증 치료,심근경색증 치료
53,DI6_DG,협심증 의사진단 여부,협심증 의사진단 여부
54,DI6_AG,협심증 진단시기,협심증 진단시기
56,DI6_PT,협심증 치료,협심증 치료
57,DM1_DG,관절염 의사진단 여부,관절염 의사진단 여부
58,DM1_PR,관절염 현재 유병 여부,관절염 현재 유병 여부
59,DM1_PT,관절염 치료,관절염 치료
60,DM2_AG,골관절염 진단시기,골관절염 진단시기
61,DM3_DG,류마티스성 관절염 의사진단 여부,류마티스성 관절염 의사진단 여부
62,DM3_AG,류마티스성 관절염 진단시기,류마티스성 관절염 진단시기
64,DM3_PT,류마티스성 관절염 치료,류마티스성 관절염 치료
65,DM4_DG,골다공증 의사진단 여부,골다공증 의사진단 여부
66,DM4_AG,골다공증 진단시기,골다공증 진단시기
68,DM4_PT,골다공증 치료,골다공증 치료
69,DJ2_AG,폐결핵 진단시기,폐결핵 진단시기
70,DJ4_DG,천식 의사진단 여부,천식 의사진단 여부
71,DJ4_AG,천식 진단시기,천식 진단시기
72,DJ4_PT,천식 치료 ,천식 치료 
73,DJ4_3,천식 약복용,천식 약복용
74,DE1_DG,당뇨병 의사진단 여부,당뇨병 의사진단 여부
75,DE1_AG,당뇨병 진단시기,당뇨병 진단시기
76,DE1_3,당뇨병혈당관리치료여부,당뇨병혈당관리치료여부
