,name,count
0,잡곡밥,37717
2,배추김치,9547
1,된장찌개,7920
8,"김치찌개,돼지고기",6994
3,잔멸치볶음(잔멸치만),6993
152,"시금치나물,간장,소금",6199
10,"된장국,시래기",6037
7,가지나물,5516
9,"커피,밀크커피(자판기,커피믹스)",5217
12,쌀밥,5115
4,고사리나물,4923
6,"겉절이,배추",4624
24,"미역국,소고기",4549
28,"김밥,채소",4476
11,불고기,4414
21,"잔멸치볶음,견과류",4407
18,호박나물,4251
14,무생채,4247
13,잡채,4202
20,양념장,3631
15,"무국,소고기",3364
25,"된장찌개,두부,호박",3335
17,고등어조림,3246
35,돼지고기볶음,3166
108,"콩나물무침,콩나물만,고춧가루제외",2992
31,"콩나물무침,콩나물만,고춧가루",2958
19,멸치볶음(멸치만),2829
46,짜장면,2762
175,추어탕,2715
16,청국장찌개,2692
104,"콩조림(콩자반),검정콩",2658
5,시금치나물,2645
43,무말랭이무침,2577
64,쌈장,2494
23,"된장국,배추",2458
49,"돼지고기볶음,채소",2420
42,비빔밥,2366
38,"겉절이,상추",2347
44,오이생채(오이만),2288
36,"된장찌개,두부",2271
26,도라지나물,2252
37,"샐러드,채소",2180
50,열무김치,2123
34,미역국(미역만),2123
40,콩나물국(콩나물만),2112
51,된장국,2111
55,김구이,2055
47,사과,2053
41,동태찌개(생태찌개),2021
45,연근조림,2021
52,우엉조림,2014
32,"소스,카레",2004
33,무나물,1944
27,"국수,잔치국수",1895
80,"잔멸치볶음,꽈리고추",1817
71,부추김치,1806
74,두부조림,1753
22,"콩나물무침,콩나물만",1735
39,커피(타먹는커피),1723
184,"고구마줄기나물,고춧가루",1719
72,보리밥,1715
54,오이김치,1700
29,"육개장,소고기",1694
58,머위나물,1690
70,콩나물국,1659
83,"잔멸치볶음,풋고추",1643
65,김치찌개,1636
86,깻잎나물,1626
95,우유,1558
91,짬뽕,1533
63,도라지생채,1520
88,"멸치볶음,꽈리고추",1519
30,김밥(대표),1426
57,오이생채,1378
101,"멸치볶음,견과류",1374
75,잔멸치볶음,1364
62,어묵볶음(어묵만),1342
66,고구마줄기나물,1311
73,고춧잎나물,1266
137,오이지무침,1258
168,"된장찌개,두부,호박,버섯",1254
90,부추전,1234
89,깍두기,1230
61,"냉면,물냉면",1175
128,"된장국,호박",1163
116,멸치볶음,1146
56,사골국,1143
133,상추,1121
131,"커피,원두커피,블랙커피",1097
84,미역줄기볶음,1090
53,풋고추찜,1085
135,"된장국,두부",1076
154,곰탕,1074
85,"꽃게장,간장",1070
67,시래기나물,1057
144,오징어채볶음,1054
96,더덕무침,1051
140,"콩밥,검정콩",1049
87,김치국,1027
161,감자조림,1025
102,귤,1017
216,"요구르트,호상",995
103,"버섯볶음,느타리",995
110,숙주나물,985
118,소고기국,983
81,혼합잡곡밥,974
109,"멸치볶음,풋고추",962
92,김치찌개(김치만),946
187,"된장국,우거지",944
111,미역국,943
99,"육개장,닭고기",943
78,"된장국,시금치",940
94,"갈비구이,돼지",938
100,두부부침,932
156,파무침,916
196,"고등어구이,기름",906
76,야채전,905
97,미역초무침,902
150,"갈비찜,소",900
189,선짓국,886
163,"어묵볶음,채소",885
310,조기찌개,884
120,콩비지찌개,874
129,감,858
119,"국수,비빔국수",857
106,볶음밥,847
113,"콩나물국,김치",846
48,콩조림(콩자반),842
172,"북어국,무",837
153,"볶음밥,김치",836
130,"된장국,아욱",830
149,"불고기,돼지고기",813
93,"샐러드,양상추",813
60,떡국,807
132,"고구마,찐고구마,군고구마",806
125,동치미,806
151,돼지고기찌개,805
115,"현미밥,쌀",793
195,무국,792
364,"갈치조림,무",789
68,두부찌개,786
157,갈비탕,778
173,칼국수,774
122,"샐러드,양배추",773
98,호박전,769
107,"된장국,쑥",767
136,초고추장,765
146,총각김치,753
167,장어탕,747
79,"냉국,오이",733
141,보신탕,732
215,양파무침,730
124,"냉국,미역,오이",726
209,감자국,719
166,삼계탕(닭백숙),719
188,달걀부침(달걀후라이),716
177,"잡곡밥,현미",715
638,"미나리나물,간장,소금",704
142,버섯볶음,700
201,코다리찜,696
220,"갈비찜,돼지",695
139,"미역국,북어",692
174,"깻잎장아찌,곰취장아찌,콩잎장아찌",691
186,탕수육,685
121,"고추조림,멸치",681
126,"버섯볶음,새송이",679
112,"소스,짜장",675
77,김무침,671
147,북어채무침,665
180,나박김치,664
145,멸치조림,656
164,두유,654
170,김치볶음(김치만),644
275,호박찌개,644
533,"김치찌개,돼지고기삼겹살",642
143,"새우젓,양념",638
162,오리탕,633
155,꽁치조림,632
123,북어국,632
229,감자탕,628
82,"장조림,돼지고기",624
420,"부추무침,부추만",618
160,소주,617
148,"장조림,소고기,메추리알",617
207,"갈치구이,기름",613
158,고추장,612
276,짬뽕국,612
69,부추무침,602
296,파김치,601
117,갈치조림,598
200,"고추,풋고추",594
219,샤브사브,587
159,조기구이,587
506,"고구마줄기나물,들깨",586
59,미나리나물,580
289,"버섯볶음,표고",576
451,"무생채,초무침",573
479,"어묵국(어묵탕),고춧가루제외",568
244,"달걀,삶은계란",567
381,닭도리탕(닭매운탕),562
383,"죽,전복죽",553
197,참외,551
217,가자미조림,546
339,혼합과일주스,545
182,양파장아찌,543
203,동태국,537
134,닭볶음(닭갈비),536
214,감자볶음(감자만),534
235,"달걀찜,달걀만",531
551,"칼국수,바지락",529
299,조기조림,526
185,소금,525
340,"된장찌개,강된장",523
231,달걀국,513
268,"도라지생채,오이",510
127,"불고기,오리",510
263,바나나,509
316,"닭조림,닭도리탕",509
260,노각무침,508
206,양파,507
427,"코다리조림,무",506
249,복숭아,505
178,"꽃게장,고추가루",504
297,꽃게탕,504
315,"샐러드,과일",503
502,깻잎찜,491
399,"장조림,메추리알",491
256,"마늘쫑볶음,건새우",491
176,찰밥,488
322,"갈비구이,소",488
105,사탕,487
251,된장,486
221,"콩나물무침,고춧가루",486
114,낙지볶음,484
354,"오이생채,부추",483
227,흑미밥,477
212,고등어찌개,477
332,"달걀말이,채소(대표)",477
306,돈까스,475
213,"냉면,비빔냉면",468
255,"죽,호박죽",467
250,피자,466
478,"잡곡밥,보리",459
304,"마늘쫑볶음,멸치",457
138,어묵국,454
252,순대국,454
225,김치볶음,453
179,"생선전,동태",452
303,"장조림,소고기",450
308,"땅콩조림(땅콩자반,땅콩만)",450
246,"요구르트,액상",449
258,포도,449
211,미숫가루(선식)음료,447
272,누룽지,444
257,"칼국수,해물",435
351,오징어채무침,434
267,콩국수,432
233,오징어볶음,431
238,순두부찌개,429
169,냉이나물,428
282,마늘,428
262,"해장국,뼈다귀",428
232,배추나물,428
192,수박,423
223,우동,421
204,수제비,418
264,"고추조림,고추만",415
288,"묵무침,도토리묵",409
239,토마토,409
287,"잡곡밥,서리태",405
190,어묵볶음,403
202,"매운탕,아귀",402
234,홍어회무침,402
242,김치전,396
194,영양돌솥밥,395
210,조기찜,394
