,변수명,변수설명
0,N_DIET,식사요법여부
1,N_DIET_WHY,식사요법이유
2,N_DT_DS,식사요법이유_질환
3,N_DT_ETC,식사요법이유_기타
4,N_DUSUAL,평소식사량과 비교
5,N_WAT_C,물섭취량(컵)
6,N_PRG,임신 및 수유여부(가임기여성)
7,N_BFD_Y,모유수유여부(영유아)
8,N_DAY,영양조사요일
9,N_MEAL,끼니구분
10,N_MEAL_T,식사시간
11,N_MEAL_P,식사장소
12,N_MTYPE,매식여부
13,N_MEAL_W,타인동반 여부
14,N_DNAME,음식명
15,N_DCODE,음식코드
16,N_CD_VOL,음식의 조리총량(부피)
17,N_CD_WT,음식의 조리총량(중량)
18,N_TD_VOL,음식의 섭취량(부피)
19,N_TD_WT,음식의 섭취량(중량)
20,N_FCODE,식품코드
21,N_FNAME,식품코드명(한글)
22,N_ENAME,식품코드명(영문)
23,N_FD_NS,식품명 및 식품상태
24,N_FM_WT,식품재료량(중량)
25,N_PRODUCT,제품명
26,N_CNAME,제조회사명
27,N_AP,동식물성 구분
28,N_KINDG1,식품군 분류1
29,N_KINDG2,식품군 분류2
30,N_FCODE3,3차 식품코드
31,N_FNAME3,3차 식품코드명
32,NF_INTK,식품섭취량
33,NF_INTK3,3차 식품코드용 식품섭취량
34,NF_EN,에너지
35,NF_WATER,수분
36,NF_PROT,단백질
37,NF_FAT,지방
38,NF_SFA,포화지방산
39,NF_MUFA,단일불포화지방산
40,NF_PUFA,다가불포화지방산
41,NF_N3,n-3계 지방산
42,NF_N6,n-6계 지방산
43,NF_10_0,카프르산
44,NF_12_0,라우르산
45,NF_14_0,미리스트산
46,NF_16_0,팔미트산
47,NF_18_0,스테아르산
48,NF_20_0,아라키드산
49,NF_22_0,베헨산
50,NF_24_0,리그노세르산
51,NF_14_1,미리스톨레산
52,NF_16_1,팔미톨레산
53,NF_18_1,올레산
54,NF_20_1,에이코센산
55,NF_22_1,에루크산
56,NF_24_1,네르본산
57,NF_18_2N6,리놀레산
58,NF_18_3N3,알파리놀렌산
59,NF_18_3N6,감마리놀렌산
60,NF_18_4,스테아리돈산
61,NF_20_2,에이코사디엔산
62,NF_20_3N6,디호모감마리놀렌산
63,NF_20_4N6,아라키돈산
64,NF_20_5N3,에이코사펜타엔산
65,NF_22_2,도코사디엔산
66,NF_22_5,도코사펜타엔산
67,NF_22_6N3,도코사헥사엔산
68,NF_CHOL,콜레스테롤
69,NF_CHO,탄수화물
70,NF_TDF,식이섬유
71,NF_SUGAR,당
72,NF_CA,칼슘
73,NF_PHOS,인
74,NF_FE,철
75,NF_NA,나트륨
76,NF_K,칼륨
77,NF_VA,비타민A (레티놀 당량)
78,NF_VA_RAE,비타민A (레티놀 활성 당량)
79,NF_CAROT,베타카로틴
80,NF_RETIN,레티놀
81,NF_B1,티아민
82,NF_B2,리보플라빈
83,NF_NIAC,나이아신
84,NF_FOLATE,엽산
85,NF_VITC,비타민C
86,NS_NAME,식이보충제명
87,NS_CNAME,식이보충제 제조원명
88,NS_AM,식이보충제 섭취량
89,NS_AM_U,식이보충제 섭취량 단위
90,NS_VOL,식이보충제 섭취부피
91,NS_WT,식이보충제 섭취중량
92,NS_CODE,식이보충제 코드
93,NS_CA,식이보충제 칼슘
94,NS_PHOS,식이보충제 인
95,NS_FE,식이보충제 철
96,NS_VA_RAE,식이보충제 비타민A (레티놀 활성 당량)
97,NS_B1,식이보충제 티아민
98,NS_B2,식이보충제 리보플라빈
99,NS_NIAC,식이보충제 나이아신
100,NS_VITC,식이보충제 비타민C
101,N_INTK,식품섭취량
102,N_EN,에너지
103,N_WATER,수분
104,N_PROT,단백질
105,N_FAT,지방
106,N_SFA,포화지방산
107,N_MUFA,단일불포화지방산
108,N_PUFA,다가불포화지방산
109,N_N3,n-3계 지방산
110,N_N6,n-6계 지방산
111,N_CHOL,콜레스테롤
112,N_CHO,탄수화물
113,N_TDF,식이섬유
114,N_SUGAR,당
115,N_CA,칼슘
116,N_PHOS,인
117,N_FE,철
118,N_NA,나트륨
119,N_K,칼륨
120,N_VA,비타민A(레티놀 당량)
121,N_VA_RAE,비타민A(레티놀 활성 당량)
122,N_CAROT,베타카로틴
123,N_RETIN,레티놀
124,N_B1,티아민
125,N_B2,리보플라빈
126,N_NIAC,나이아신
127,N_FOLATE,엽산
128,N_VITC,비타민C
129,LF_secur_y,식품안정성조사 여부
130,LF_BUYER,응답자의 가구 내 식생활관리자 여부
131,LF_SAFE,식생활형편
132,HEI,식생활평가지수 총점
133,HEI_BR,아침식사
134,HEI_CEREAL,잡곡 섭취
135,HEI_TFRUIT,총 과일 섭취
136,HEI_FFRUIT,생 과일 섭취
137,HEI_TVEG,총 채소 섭취
138,HEI_VEG,"김치, 장아찌류를 제외한 채소 섭취"
139,HEI_PROTF,"고기, 생선, 달걀, 콩류 섭취"
140,HEI_DAIRY,우유 및 유제품 섭취
141,HEI_SFA,포화지방산 에너지섭취비율
142,HEI_NA,나트륨 섭취
143,HEI_SWEET,"당류, 음료류의 에너지섭취비율"
144,HEI_CHO,탄수화물 에너지섭취비율
145,HEI_FAT,지방 에너지섭취비율
146,HEI_EN,에너지 섭취
