,변수명,변수설명7,변수설명8
20,WT_HM,중금속검사 가중치(만10세이상),
21,WT_VT,비타민검사 가중치(만10세이상),
22,WT_NN,NNAL검사 가중치(만6세이상),
23,WT_EX1,안검사 가중치(만40세이상),이비인후검사 가중치(만40세이상)
26,WT_PFHM,폐기능검사 & 중금속검사 가중치(만40세이상),
27,WT_PFVT,폐기능검사 & 비타민검사 가중치(만40세이상),
29,WT_HMNT,중금속검사 & 영양조사 가중치(만10세이상),
30,WT_VTNT,비타민검사 & 영양조사 가중치(만10세이상),
31,WT_NNNT,NNAL검사 & 영양조사 가중치(만6세이상),
32,WT_PFHMNT,폐기능검사 & 중금속검사 & 영양조사 가중치(만40세이상),
33,WT_PFVTNT,폐기능검사 & 비타민검사 & 영양조사 가중치(만40세이상),
34,WT_EX1NT,안검사 & 영양조사 가중치(만40세이상),이비인후검사 & 영양조사 가중치(만40세이상)
35,WT_EX1HM,안검사 & 중금속검사 가중치(만40세이상),
36,WT_EX1PF,안검사 & 폐기능검사 가중치(만40세이상),
37,WT_TOT1,안검사 & 폐기능검사 & 중금속검사 가중치(만40세이상),
38,WT_EX1PFNT,안검사 & 폐기능검사 & 영양조사 가중치(만40세이상),
39,WT_EX1HMNT,안검사 & 중금속검사 & 영양조사 가중치(만40세이상),
40,WT_TOT1NT,안검사 & 폐기능검사 & 중금속검사 & 영양조사 가중치(만40세이상),
41,WT_OE,검진구강조사 가중치,구강검사 & 영양조사 가중치
42,WT_OENT,검진구강조사 & 영양조사 가중치,
47,HOUSE,주택소유여부 ,주택소유여부
49,AINC_UNIT1,가구총소득(개방형) : 소득단위,가구총소득(개방형): 소득단위
50,AINC_1,가구총소득(개방형) : 소득액,가구총소득(개방형): 소득액
56,NPINS,민간의료보험가입여부,민간의료보험 가입여부
59,D_1_1,주관적 건강상태,주관적 건강인지
60,D_2_1,최근2주간 몸이 불편했던 경험 유무,"최근2주간 몸이 불편했던 
경험 유무"
67,DI2_DG,이상지질혈증 의사진단 여부 ,이상지질혈증 의사진단 여부
70,DI2_PT,이상지질혈증 치료 ,이상지질혈증 치료
